i want to leave you with one last thought .	我想要留給你們一個想法 。
we really struggle to do this .	我們真的很興奮 。
now that can still be a lot of money .	這還可能是很多錢 。
it can't even play chess .	它無法玩樂 。
and then he told her , get up .	然後他告訴她 , 很快 。
we can bring about change in the society . "	我們可以把社會改變在社會中 。 」
let them take long lunches .	讓他們長久 。
i want you to wait for just one second .	我希望你們等一下 。
i mean he had laid it all out .	我的意思是 , 他把它放出來 。
but there's a catch here .	但這裡有個貓 。
he's also a eugenist .	他也是一位女士 。
we don't tell them to do anything .	我們不告訴他們什麼 。
one is face recognition .	第一是臉書 。
these are archival tags .	這些是建築物 。
in many ways , it was worse .	在許多方面 , 它很糟糕 。
they're not rich at all .	他們不是在所有人 。
and then we've done a third thing .	然後我們做了第三件事 。
i mean , you've changed the future .	我是說 , 你已經改變未來 。
so i obviously declined to invest .	我很明顯地投資 。
and i was there with my arms open .	我和我的手臂開了 。
let's think about data for a bit .	讓我們想想數據 。
why phosphorus in particular ?	為什麼在特別的心理學家 ?
it was only because of our passports .	這只是因為我們的熱情 。
it's called light pollution .	它叫做燈泡 。
so we can see how the process works .	所以 , 我們可以看見過程如何運作 。
my job depends upon it .	我的職職職責很快 。
they lose the strategy .	他們失去策略 。
he'll be alone for a while .	他會自殺 。
the phone rang and it was my doctor .	手機和醫生一樣 。
so this is really exciting to me .	這真的很興奮 。
my parents are both salespeople .	我父母都很喜歡 。
and i know that it's not easy .	我知道這是很簡單的 。
they got to work on what they could do .	他們必須做什麼 。
the idea is very , very simple .	這個想法很簡單 。
they breathe easier .	他們呼吸 。
let me tell you about mahabuba .	讓我來告訴你們魔術 。
public space . this is a good public space .	公共空間是很好公共空間 。
remember my buddy , art ?	記得我的女兒 , 藝術嗎 ?
the other boy was fernando .	另一位男孩被告知 。
girls are trained to please .	女孩被訓練 。
let's do this and do it now .	現在 , 讓我們來做這件事 。
to what extent are these people right ?	什麼是這些人權利 ?
what would they do under the same conditions ?	他們會做什麼 ?
i remember so vividly that day .	我記得那一天 。
these are not dying peoples .	這些不是為了人們 。
and there's no adaption .	而沒有適應 。
this guy thought in the same way i did .	這傢伙想在同樣的方式上 。
