i want to leave you with one last thought .	我想要留下最後一個想法 。
we really struggle to do this .	我們真的很掙扎去做這件事 。
now that can still be a lot of money .	這還可以有很多錢 。
it can't even play chess .	甚至無法玩樂 。
and then he told her , get up .	然後他告訴她 , 來吧 。
we can bring about change in the society . "	我們能在社會中帶來改變 。 」
let them take long lunches .	讓他們長久的午餐 。
i want you to wait for just one second .	我希望你們等一下 。
i mean he had laid it all out .	我的意思是 , 他把它丟掉 。
but there's a catch here .	但這裡有個貓 。
he's also a eugenist .	他也是個艱難主義者 。
we don't tell them to do anything .	我們不告訴他們什麼 。
one is face recognition .	其中一個是臉孔 。
these are archival tags .	這些是黑色塔 。
in many ways , it was worse .	在許多方面 , 它很糟 。
they're not rich at all .	他們完全沒有搜尋 。
and then we've done a third thing .	然後我們做了第三件事 。
i mean , you've changed the future .	我的意思是 , 你改變了未來 。
so i obviously declined to invest .	所以我顯然決定投資 。
and i was there with my arms open .	我和我的軍隊開放了 。
let's think about data for a bit .	咱們來想想資料 。
why phosphorus in particular ?	為什麼磷會特別呢 ?
it was only because of our passports .	這只是因為我們的熱情 。
it's called light pollution .	它叫做光線 。
so we can see how the process works .	所以 , 我們可以看到如何運作 。
my job depends upon it .	我的工作將它延伸出來 。
they lose the strategy .	他們失去策略 。
he'll be alone for a while .	他會孤獨一陣子 。
the phone rang and it was my doctor .	手機雷射 , 那是我的醫生 。
so this is really exciting to me .	這讓我感到興奮 。
my parents are both salespeople .	我的父母是莎貝爾 。
and i know that it's not easy .	我知道這不是簡單的 。
they got to work on what they could do .	他們必須在他們能做的事 。
the idea is very , very simple .	想法非常簡單 。
they breathe easier .	他們比較容易呼吸 。
let me tell you about mahabuba .	讓我告訴各位 , 麥克 。
public space . this is a good public space .	公共空間 , 這是公共空間 。
remember my buddy , art ?	請記住我的dna , 藝術嗎 ?
the other boy was fernando .	另一位男孩是大眾 。
girls are trained to please .	女孩被訓練 。
let's do this and do it now .	咱們來做這件事 。
to what extent are these people right ?	對這些人來說 , 這些人對嗎 ?
what would they do under the same conditions ?	他們在同一個條件下做什麼 ?
i remember so vividly that day .	我還記得那一天 。
these are not dying peoples .	這些不是死人 。
and there's no adaption .	沒有適應 。
this guy thought in the same way i did .	這傢伙在我做的事 。
" yeah , both my parents are black .	「 是的 , 我的父母都是黑人 。
you had to do everything to get your phone .	你必須做的一切 。
what do you want your life to look like ?	你想要你的生命看起來是什麼樣子 ?
the other is obviously a computer mouse .	另一個顯然是一個電腦博物館 。
and you might save a ton of money .	你可能會省下一噸錢 。
and charles started not liking that .	查查查爾開始了 。
wikipedia changed the world , too .	維基亞也改變了世界 。
let me show you what it looks like .	讓我給各位看看它的樣子 。
jc: it makes perfect sense to me .	jc:這讓我感到完美 。
the question is: how do we do it ?	問題是:我們要怎麼做 ?
is migration really a choice ?	移民真的是個選擇嗎 ?
mb: i know , i know .	mb:我知道 。
this is a season of grace .	這是冰季 。
we call those pulsars .	我們稱之為 「 監獄 」 。
anyone here want to be paid well ?	這裡有誰想付錢 ?
how many followers have i gained ?	我收集了多少人 ?
and this is the first stop along the line .	這是第一條線 。
so multilateralism works .	所以 , 多數的文化工作 。
here comes the crazy moment .	這是瘋狂的時刻 。
and i think that's where we are .	我認為這是我們在哪裡 。
east to west , right ?	對西方來說 , 對嗎 ?
we tried to understand how we can help .	我們試圖了解如何幫助 。
so they would go and build huge structures .	所以他們會去建造巨大的結構 。
is that a difficult position for you ?	對於你們來說 , 這對你來說是困難的 ?
well today , this is only a year later .	今天 , 這只是一年後 。
it doesn't have a name yet .	這還沒有名字 。
it has weeping water right now .	它現在有水 。
they figure there must be more to it .	他們認為應該有更多 。
and we're going to walk in .	我們要走進去 。
people applaud in delight .	人們在沙漠中在沮喪 。
the female is flightless .	雌蟲很少 。
the second thing is , the health issue .	第二件事是 , 健康議題 。
the other , in nuances .	另外 , 在營養中 。
the negatives are gone .	負面是去的 。
len is an introvert .	洛杉磯是一個太空人 。
so it allows it to roll .	所以 , 它可以讓它變成羅馬 。
do you know what i wanted to be ?	你知道我想要成為什麼 ?
the mission didn't work .	任務沒有工作 。
he'd been tortured .	他一直被監控 。
i ran through the numbers myself .	我走過數字 。
but it cannot do it alone .	但它不單單單單獨做 。
but that , too , is not enough .	但 , 這還不夠 。
this is the warp and weft .	這是戰爭和軟體 。
we opened women's learning center .	我們打開女人學習中心 。
and it uses no fuel .	它沒有燃料 。
they , too , are doing great work .	他們也在做很棒的工作 。
this is him on the screen .	這是他在螢幕上 。
and there's the sheep .	還有羊 。
so this is how you vote .	這就是你如何投票 。
so i couldn't handle it .	所以我不能把它放進去 。
number three: property rights .	第三:權利 。
these are absurdities .	這些都是抽象性的 。
the same is true of the political field .	政治領域也一樣 。
do you have a ring as well ?	你有一隻貓嗎 ?
there's more that can be done .	這樣可以做 。
well , consciousness . "	意識 。 」
but then i started to realize something .	但之後我開始了解一些事情 。
but it didn't work that way .	但沒有辦法做到 。
it's too riskaverse .	它太冒險了 。
that's that's not true .	這不是真的 。
well why would i bother doing that ?	為什麼我會這樣做呢 ?
it's fed by . . .	它被感染 。
and why won't they do that ?	為什麼他們不會這樣做 ?
an invitation , a challenge ?	一個邀請 , 一個挑戰嗎 ?
ab: and what month ?	ab:什麼個月 ?
and finally , dogmatism .	最後 , 狗主義 。
their rate is about 12 percent .	他們的策略是12% 。
how are you coping with the fear ?	你要如何和恐懼有關 ?
it's such a beautiful little machine .	這是一個美麗的小機器 。
in 1975 , he lost again .	1975年 , 他再次失去了 。
our experience is where we're from .	我們的經驗是從哪裡來的 。
they're more american than anything else .	他們比任何其他東西還要多 。
ok , how about some good news ?	好嗎 ?
gone , gone , gone .	去吧 , 去吧 。
so , what is the future of cities ?	那麼 , 城市的未來是什麼 ?
but , like , really crying .	但 , 真的很抱歉 。
why did we use that word , science ?	我們為什麼用這句話 , 科學 ?
they showed bloody gums .	他們看到血管 。
of course this is how americans think .	當然 , 這是美國人的思想 。
there are different paradigms .	有很多不同的矛盾 。
this is my favorite one .	這是我最喜歡的一個 。
i believe he is selling hope .	我相信他正在販售希望 。
and we see the mother in every being .	我們每個人都看到母親 。
who just turned out the lights ? "	誰只是把光轉換成光 ? 」
well , we got hundreds of ideas .	我們有數百個想法 。
salaam alaikum .	薩拉·阿拉克 。
dr . adam neiman .	哇 , 阿拉伯 。
it was the most in new york history .	這是紐約歷史中最重要的 。
madison was astonished .	馬遜很驚訝 。
it has wonderful properties .	它有很棒的特質 。
