i want to leave you with one last thought .	我想留給你們最後一個想法 。
we really struggle to do this .	我們真的很掙扎這麼做 。
now that can still be a lot of money .	這仍然有很多錢 。
it can't even play chess .	它甚至不能玩樂 。
and then he told her , get up .	然後他告訴她 , 爬上去 。
we can bring about change in the society . "	我們可以在社會中帶來改變 。 」
let them take long lunches .	讓他們花很長的午餐
i want you to wait for just one second .	我希望你們等一下 。
i mean he had laid it all out .	我的意思是 , 他全部都放棄了 。
but there's a catch here .	但這裡有個貓 。
he's also a eugenist .	他也是個青少年人 。
we don't tell them to do anything .	我們不告訴他們做什麼 。
one is face recognition .	第一是臉孔辨識 。
these are archival tags .	這些是芝加哥的目標 。
in many ways , it was worse .	在很多方面 , 更糟糕 。
they're not rich at all .	他們不是富有的 。
and then we've done a third thing .	然後我們做了第三件事 。
i mean , you've changed the future .	我是說 , 你已經改變了未來 。
so i obviously declined to invest .	我很明顯地決定投資 。
and i was there with my arms open .	我當時和我的手臂開放了 。
let's think about data for a bit .	我們來想想數據 。
why phosphorus in particular ?	為什麼磷特別 ?
it was only because of our passports .	這只是因為我們的運輸 。
it's called light pollution .	它叫做光污染 。
so we can see how the process works .	我們可以看到過程如何運作 。
my job depends upon it .	我的任務依賴它 。
they lose the strategy .	他們失去策略 。
he'll be alone for a while .	他會孤單 。
the phone rang and it was my doctor .	這是我的醫生 。
so this is really exciting to me .	這對我非常興奮 。
my parents are both salespeople .	我的父母都是銷售者 。
and i know that it's not easy .	我知道這並不容易 。
they got to work on what they could do .	他們必須在他們能做的事上工作 。
the idea is very , very simple .	這個想法非常簡單 。
they breathe easier .	它們比較容易呼吸 。
let me tell you about mahabuba .	讓我告訴各位 , 馬哈巴巴巴巴 。
public space . this is a good public space .	公共空間 。 這是一個好的公共空間 。
remember my buddy , art ?	記住我爸 , 藝術嗎 ?
the other boy was fernando .	另一個男孩是盧安達 。
girls are trained to please .	女孩們被訓練去歡迎 。
let's do this and do it now .	現在我們來做一下 。
to what extent are these people right ?	對這些人來說 , 對嗎 ?
what would they do under the same conditions ?	他們在同一個條件下做什麼 ?
i remember so vividly that day .	我記得那天很明顯 。
these are not dying peoples .	這些不是死亡的人 。
and there's no adaption .	沒有適應 。
this guy thought in the same way i did .	這傢伙和我所做的一樣 。
