and i think that's where we are .	我認為那就是我們在的地方 。
we can bring about change in the society . "	我們能在社會中帶來改變 。 」
i mean he had laid it all out .	我的意思是他全部都拉出來了 。
now that can still be a lot of money .	現在還可以賺很多錢 。
and then he told her , get up .	然後他告訴她 , 爬上去 。
let me tell you about mahabuba .	讓我告訴各位mhaba 。
it can't even play chess .	它甚至無法玩棋 。
let them take long lunches .	讓我們花很長的午餐 。
public space . this is a good public space .	公共空間 。 這是個好公共空間 。
these are archival tags .	這些是芝加哥標籤 。
he's also a eugenist .	他也是個埃及人 。
we call those pulsars .	我們稱之為脈衝 。
and then we've done a third thing .	然後我們做了第三件事 。
anyone here want to be paid well ?	這裡有沒有人想要資助嗎 ?
i mean , you've changed the future .	我的意思是 , 你改變了未來 。
so multilateralism works .	所以 , 多種主義運作 。
in many ways , it was worse .	在許多方面 , 很糟糕 。
here comes the crazy moment .	這是瘋狂的時刻 。
this is a season of grace .	這是墳墓的一季 。
so this is really exciting to me .	這對我非常興奮 。
let's think about data for a bit .	讓我們想想數據 。
it was only because of our passports .	只是因為我們的運輸 。
why phosphorus in particular ?	為什麼磷特別特別特別呢 ?
my job depends upon it .	我的工作取決於它 。
so we can see how the process works .	我們可以看到這個過程如何運作 。
it's called light pollution .	它叫做光污染 。
they lose the strategy .	他們失去策略 。
they got to work on what they could do .	他們必須在他們能做什麼 。
you had to do everything to get your phone .	你必須做所有事來取得你的手機 。
he'll be alone for a while .	他會孤單一陣子 。
my parents are both salespeople .	我的父母都是樣本 。
and i know that it's not easy .	我知道這並不容易 。
and i was there with my arms open .	我和我的手臂打開了 。
they breathe easier .	他們呼吸更容易 。
the idea is very , very simple .	這個想法非常簡單 。
i want you to wait for just one second .	我希望你等待一秒 。
we really struggle to do this .	我們真的很掙扎做這件事 。
remember my buddy , art ?	記得我爸爸 , 藝術嗎 ?
is that a difficult position for you ?	那對你來說是很困難的位置嗎 ?
let's do this and do it now .	現在我們來做這件事 , 做吧 。
and there's no adaption .	沒有適應性 。
so they would go and build huge structures .	所以他們會去建立巨大的結構 。
i remember so vividly that day .	我記得那天很明顯 。
girls are trained to please .	女孩被訓練到請求 。
these are not dying peoples .	這些不是死亡的人 。
to what extent are these people right ?	對這些人來說 , 這些人對哪些權利 ?
they're not rich at all .	它們完全不富有 。
what do you want your life to look like ?	你希望你的生命看起來是什麼樣子 ?
they're always happy when i do that .	當我這麼做時 , 它們總是很開心 。
it's not . a is true here .	不是這樣 。 這裡是真的 。
" yeah , both my parents are black .	「 是的 , 我的父母都是黑人 。
i see the looks on your faces .	我看到你的臉上 。
this is what happened in tunisia .	這是在突尼亞發生的事 。
but why do i have to go to school ?	但我為什麼要去上學呢 ?
i want to leave you with one last thought .	我想留給你們最後一個想法 。
the other boy was fernando .	另一位男孩是盧安 。
what would they do under the same conditions ?	他們在同一個條件下做什麼 ?
east to west , right ?	東方到西方 , 對吧 ?
but there's a catch here .	但這裡有一隻貓 。
and this is the first stop along the line .	這是第一條停止 。
how many followers have i gained ?	我收到多少個追蹤者 ?
let me show you what it looks like .	讓我向各位展示它看起來是什麼樣子 。
one is face recognition .	第一是臉辨識 。
this guy thought in the same way i did .	這傢伙在我做過同樣的事 。
well today , this is only a year later .	今天 , 這只是一年後 。
we don't tell them to do anything .	我們不告訴他們做任何事 。
is migration really a choice ?	移民真的是個選擇嗎 ?
so i obviously declined to invest .	所以我很明顯地決定投資 。
jc: it makes perfect sense to me .	jc:對我來說是合理的 。
the question is: how do we do it ?	問題是:我們該怎麼做 ?
we tried to understand how we can help .	我們試圖了解我們如何幫助 。
mb: i know , i know .	馬:我知道 。
people applaud in delight .	人們在開心上掌聲 。
it doesn't have a name yet .	還沒有名字 。
they figure there must be more to it .	他們認為一定會有更多的影響 。
len is an introvert .	萊恩是個介紹 。
do you know what i wanted to be ?	你們知道我想要做什麼 ?
the other , in nuances .	另一種 , 在營養中 。
but it didn't work that way .	但它不是這樣運作的 。
and why won't they do that ?	為什麼他們不會這樣做呢 ?
it's too riskaverse .	太冒險了 。
it has weeping water right now .	它現在有冰水 。
and we're going to walk in .	我們要走進去 。
so it allows it to roll .	所以它可以滾動 。
the mission didn't work .	任務沒有用 。
he'd been tortured .	他被嚇壞了 。
but that , too , is not enough .	但那也不夠了 。
i ran through the numbers myself .	我穿過數字 。
they , too , are doing great work .	他們也做得很好 。
i believe he is selling hope .	我相信他在賣希望 。
but it cannot do it alone .	但它並不孤單 。
but then i started to realize something .	但後來我開始了解一些東西 。
who just turned out the lights ? "	誰會把燈光轉換出來 ? 」
this is him on the screen .	這是他在螢幕上 。
and there's the sheep .	還有羊 。
so this is how you vote .	這就是你投票的方式 。
so i couldn't handle it .	所以我無法處理它 。
the negatives are gone .	負面會發生 。
the female is flightless .	雌性是沒有飛行的 。
the second thing is , the health issue .	第二件事是健康問題 。
and it uses no fuel .	它沒有燃料 。
these are absurdities .	這些是荒謬的 。
number three: property rights .	第三:財產權 。
well why would i bother doing that ?	為什麼我會這樣做呢 ?
the same is true of the political field .	政治領域也是如此 。
there's more that can be done .	可以做得更多 。
well , consciousness . "	意識 。 」
do you have a ring as well ?	你還有一條線嗎 ?
that's that's not true .	這不是真的 。
it's fed by . . .	它被餵食了 。
an invitation , a challenge ?	一個邀請、挑戰 ?
but you know what happened to my country .	但你知道我的國家發生了什麼事 。
how are you coping with the fear ?	你要如何與恐懼互動呢 ?
their rate is about 12 percent .	他們的速度大約是12% 。
bmw is a pretty safe car .	bmw是一個很安全的汽車 。
in 1975 , he lost again .	1975年 , 他又失去了 。
it's such a beautiful little machine .	這是一個很漂亮的機器 。
our experience is where we're from .	我們的體驗是來自我們的地方 。
they're more american than anything else .	他們比任何其他東西還要美國人 。
why did we use that word , science ?	我們為什麼使用這個詞 ? 科學呢 ?
gone , gone , gone .	去吧 , 去吧 。
so , what is the future of cities ?	所以 , 城市的未來是什麼 ?
but , like , really crying .	但 , 真的哭了 。
ok , how about some good news ?	怎麼好消息呢 ?
they showed bloody gums .	他們展示了血管槍 。
of course this is how americans think .	當然 , 這就是美國人的想法 。
there are different paradigms .	有不同的範例 。
this is my favorite one .	這是我最喜歡的 。
we opened women's learning center .	我們打開女性學習中心 。
the children are at the table .	孩子們在桌子上 。
this is the warp and weft .	這是溫和軟體 。
and yes , we africans can .	沒錯 , 我們非洲人可以 。
they were seeing something magical .	他們看到神奇的東西 。
madison was astonished .	馬迪森很驚訝 。
well , we got hundreds of ideas .	我們有數百個想法 。
i don't know anything about you .	我不知道你們什麼 。
it was the most in new york history .	這是紐約歷史上最重要的 。
now each company handles it different ways .	現在每間公司都用不同的方式處理它 。
number three: rally your allies .	第三:你所有的盟友 。
it has wonderful properties .	它有很棒的特性 。
dr . adam neiman .	亞當尼亞博士 。
salaam alaikum .	莎拉·阿拉克斯 。
