and i think that's where we are .	我認為這是我們所在的地方 。
we can bring about change in the society . "	我們可以在社會上帶來改變 。 」
i mean he had laid it all out .	我的意思是 , 他全部都被拉出來 。
now that can still be a lot of money .	這仍然可以有很多錢 。
and then he told her , get up .	然後他告訴她 , 站起來 。
let me tell you about mahabuba .	讓我跟各位談一下馬哈巴巴巴 。
it can't even play chess .	它甚至無法玩棋子 。
let them take long lunches .	讓他們長午餐 。
public space . this is a good public space .	公共空間 。 這是一個好的公共空間 。
these are archival tags .	這些是芝加哥的目標 。
he's also a eugenist .	他也是個埃及人 。
we call those pulsars .	我們稱之為脈衝 。
and then we've done a third thing .	然後我們做了第三件事 。
anyone here want to be paid well ?	這裡的任何人都想付錢嗎 ?
i mean , you've changed the future .	我是說 , 你已經改變了未來 。
so multilateralism works .	所以多種主義是有用的 。
in many ways , it was worse .	在很多方面 , 更糟糕 。
here comes the crazy moment .	這是一個瘋狂的時刻 。
this is a season of grace .	這是穀物的季節 。
so this is really exciting to me .	這對我來說很興奮 。
let's think about data for a bit .	我們來想想數據 。
it was only because of our passports .	只是因為我們的乘客 。
why phosphorus in particular ?	為什麼磷特別是磷 ?
my job depends upon it .	我的工作取決於它 。
so we can see how the process works .	我們可以看到過程如何運作 。
it's called light pollution .	它叫做光污染 。
they lose the strategy .	他們失去策略 。
they got to work on what they could do .	他們開始研究他們能做的事 。
you had to do everything to get your phone .	你必須做每件事 , 才能得到手機 。
he'll be alone for a while .	他會孤單一陣子 。
my parents are both salespeople .	我的父母都是銷售者 。
and i know that it's not easy .	我知道這並不簡單 。
and i was there with my arms open .	我和我的手臂開了 。
they breathe easier .	他們呼吸更容易 。
the idea is very , very simple .	這個想法非常簡單 。
i want you to wait for just one second .	我希望你們等一下 。
we really struggle to do this .	我們真的很掙扎 。
remember my buddy , art ?	記得我的佛祖 , 藝術嗎 ?
is that a difficult position for you ?	這對你來說是困難的位置嗎 ?
let's do this and do it now .	現在我們來做這個 , 做吧 。
and there's no adaption .	沒有適應性 。
so they would go and build huge structures .	所以他們會去建造巨大的結構 。
i remember so vividly that day .	我記得那天如此虛擬 。
girls are trained to please .	女孩受過訓練 。
these are not dying peoples .	這些不是死亡的人 。
to what extent are these people right ?	對這些人來說 , 對嗎 ?
they're not rich at all .	他們完全不富有 。
what do you want your life to look like ?	你希望你的生命看起來怎樣 ?
they're always happy when i do that .	當我這樣做時 , 他們總是快樂 。
it's not . a is true here .	不是 , 真的 。
" yeah , both my parents are black .	「 是的 , 我的父母都是黑人 。
i see the looks on your faces .	我看到你的臉 。
this is what happened in tunisia .	這是在突尼西亞發生的事 。
but why do i have to go to school ?	但是為什麼我要去上學 ?
i want to leave you with one last thought .	我想留給各位最後一個想法 。
the other boy was fernando .	另一個男孩是盧安達 。
what would they do under the same conditions ?	他們在同樣的情況下做什麼 ?
east to west , right ?	東方 , 對吧 ?
but there's a catch here .	但這裡有一隻貓 。
and this is the first stop along the line .	這是第一條停下來 。
how many followers have i gained ?	我得到多少跟隨者 ?
let me show you what it looks like .	讓我展示它的樣子 。
one is face recognition .	第一是臉孔辨識 。
this guy thought in the same way i did .	這傢伙和我一樣的想法 。
well today , this is only a year later .	今天 , 這是一年後的 。
we don't tell them to do anything .	我們不告訴他們要做什麼 。
is migration really a choice ?	移民真的是個選擇嗎 ?
so i obviously declined to invest .	所以 , 我很明顯地減少投資 。
jc: it makes perfect sense to me .	jc:對我來說是合理的 。
the question is: how do we do it ?	問題是:我們要怎麼做 ?
we tried to understand how we can help .	我們試圖了解如何協助 。
mb: i know , i know .	mb:我知道 。
people applaud in delight .	大家都很開心 。
it doesn't have a name yet .	還沒有名字 。
they figure there must be more to it .	他們認為一定會有更多的影響 。
len is an introvert .	萊恩是一個內向人 。
do you know what i wanted to be ?	你知道我想要做什麼嗎 ?
the other , in nuances .	另一種 , 在營養上 。
but it didn't work that way .	但它並沒有這樣運作 。
and why won't they do that ?	為什麼他們不會這樣做 ?
it's too riskaverse .	太冒險了 。
it has weeping water right now .	它現在有冰水 。
and we're going to walk in .	我們要走進去 。
so it allows it to roll .	所以 , 它可以讓它滾動 。
the mission didn't work .	任務並不成功 。
he'd been tortured .	他被迫害 。
but that , too , is not enough .	但這也不夠 。
i ran through the numbers myself .	我自己經營數目 。
they , too , are doing great work .	他們也做得很好 。
i believe he is selling hope .	我相信他在賣希望 。
but it cannot do it alone .	但它不能獨自做 。
but then i started to realize something .	但接著我開始了解一些事情 。
who just turned out the lights ? "	誰才剛出發光 ? 」
this is him on the screen .	這是他在螢幕上 。
and there's the sheep .	還有羊 。
so this is how you vote .	這就是你投票的方式 。
so i couldn't handle it .	我無法掌握它 。
the negatives are gone .	負面的消息已經開始了 。
the female is flightless .	雌性是飛行的 。
the second thing is , the health issue .	第二件事是 , 健康問題 。
and it uses no fuel .	它沒有燃料 。
these are absurdities .	這些都是荒謬的 。
number three: property rights .	第三:財產權 。
well why would i bother doing that ?	為什麼我會感到困惑 ?
the same is true of the political field .	政治領域也是如此 。
there's more that can be done .	可以做得更多 。
well , consciousness . "	意識 。 」
do you have a ring as well ?	你還有一圈嗎 ?
that's that's not true .	這不是真的 。
it's fed by . . .	它被食物給了 。
an invitation , a challenge ?	一個邀請、挑戰 ?
but you know what happened to my country .	但你知道我的國家發生了什麼事 。
how are you coping with the fear ?	你要如何面對恐懼 ?
their rate is about 12 percent .	他們的比率大約是12% 。
bmw is a pretty safe car .	bmw是一個非常安全的汽車 。
in 1975 , he lost again .	1975年 , 他再次失去了 。
it's such a beautiful little machine .	這是一台美麗的機器 。
our experience is where we're from .	我們的經驗是我們從哪裡來的 。
they're more american than anything else .	他們比任何其他東西都更美國人 。
why did we use that word , science ?	為什麼我們使用這個詞 ? 科學 ?
gone , gone , gone .	去吧 , 去吧 。
so , what is the future of cities ?	那麼 , 城市的未來是什麼 ?
but , like , really crying .	但 , 真的很抱歉 。
ok , how about some good news ?	好吧 , 有什麼好消息 ?
they showed bloody gums .	他們展示了血管 。
of course this is how americans think .	當然 , 這就是美國人的想法 。
there are different paradigms .	有不同的範例 。
this is my favorite one .	這是我最喜歡的 。
we opened women's learning center .	我們打開女性的學習中心 。
the children are at the table .	孩子們在桌子上 。
this is the warp and weft .	這是暖化和軟體 。
and yes , we africans can .	是的 , 我們非洲人可以 。
they were seeing something magical .	他們看到神奇的東西 。
madison was astonished .	馬迪遜很驚訝 。
well , we got hundreds of ideas .	我們有數百個想法 。
i don't know anything about you .	我不知道你們什麼 。
it was the most in new york history .	這是紐約歷史上最多的 。
now each company handles it different ways .	現在每家公司都用不同的方式來處理 。
number three: rally your allies .	第三:理性你的盟友 。
it has wonderful properties .	它有很棒的特性 。
dr . adam neiman .	亞當尼姆博士 。
salaam alaikum .	莎拉·阿拉伯語 。
and we see the mother in every being .	我們看到每個人的母親 。
and finally , dogmatism .	最後 , 狗主義 。
ab: and what month ?	ab:還有什麼月 ?
instead , we spend our time talking .	反而 , 我們花時間談話 。
we made this game in 2007 .	我們在2007年做了這個遊戲 。
so it's time for change .	所以 , 改變是時候了 。
we can push through that .	我們可以把這些推進去 。
somebody else has a design for it .	其他人有設計 。
it is a biological computer .	這是生物電腦 。
so , that's the system .	這就是這個系統 。
it's a ways out still .	它仍然是如此 。
it's cumulative .	它是客觀的 。
it is time to scale this up .	該開始擴大這點 。
she had to look like a man .	她必須看起來像男人 。
or did you get fired up ?	或者你被火燒了嗎 ?
" please , help me .	「 請幫我 。
what would it take to change that ?	需要什麼改變呢 ?
and some came from england .	有些人來自英國 。
they seemed to speak to me .	他們似乎跟我說話 。
zabalaza .	zabalazaza
pay up , because we did it .	付錢 , 因為我們做到了 。
you really can make this change happen .	你真的可以做出改變 。
a voodoo experiment .	一個空調實驗 。
there was no way they could win .	他們沒有辦法贏 。
and we get a lot of that .	我們得到很多 。
you overcompensate .	你克服了 。
there's still time to lead .	還是有時間來領導 。
so here is normal speed .	這是正常的速度 。
i'm only kidding .	我只是開玩笑 。
so it was all about the data .	重點是數據 。
but i will do a trial .	但我會做個試驗 。
it is a chess game .	這是個西洋棋遊戲
it is also unstable .	這也是不可能的 。
earth is having a fever .	地球有一顆火星 。
you should have started with z .	你應該從z開始 。
why would they cooperate ?	為什麼他們會合作 ?
his vision was pretty poor .	他的願景很貧窮 。
there are two general types .	有兩個一般的類型 。
now , here's the story .	這是一個故事 。
that means we can do it again .	這意味著我們可以再做一次 。
really expedites the process .	真正的探索過程 。
what would we think of ourselves then ?	那時我們會想到什麼 ?
and we need to train them right .	我們需要訓練他們對 。
this is the view from the inside .	這是內部的觀點 。
and i remember the first letter .	我記得第一封信 。
maybe some of them are here now .	也許有些人現在在這裡 。
it's not just another day .	不只是另一天 。
the first step is attention training .	第一步是注意訓練 。
you know who else is doing that ?	你知道誰會這樣做 ?
ks: yay !	kay !
some shots go through quickly .	有些拍照很快 。
poaching oh , no way .	教練喔 , 沒辦法 。
sixtyfive . wow .	六十五歲 。 哇 !
we still use heparin today .	今天我們仍然用公園 。
imagine that you run a cafe .	想像一下你跑咖啡 。
he went out and did an experiment .	他出去做了一個實驗 。
congratulations .	恭喜 。
let me tell you who i am .	讓我告訴各位我是誰 。
this is one tough robot .	這是一個艱難的機器人 。
there were two lines in it .	裡面有兩條線
actually , no , there are three .	事實上 , 沒有 , 有三種 。
many want to be part of this .	很多人想要成為其中之一 。
they cannot prevent this .	他們無法預防這一點 。
will he be able to be normal ?	他能是正常的嗎 ?
or even a little bit like this ?	甚至有點像這樣嗎 ?
we all have to lead the change .	我們都必須領導改變 。
titus was so bitter .	蒂蒂蒂絲很小 。
this is what it looks like .	這是它看起來的樣子 。
you can be that great generation . "	你可能是這麼偉大的世代 。 」
maybe you saw discomfort .	也許你看到不舒服 。
it wasn't even out yet .	還沒出去 。
so dina , this is amazing .	迪娜 , 這很神奇 。
to me , that represents hope .	對我來說 , 這代表希望 。
surfaces can become porous .	表面可以變得很普遍 。
and so was darwin .	達爾文 。
nm: uh , sure .	娜:呃 , 當然 。
he speaks english .	他說英語 。
and that's a simple question .	這是一個簡單的問題 。
the second thing is video games .	第二件事是電玩遊戲 。
and so it should be with us .	所以應該跟我們一起 。
why do we want to do this ?	為什麼我們要這樣做 ?
as it did in spain .	就像西班牙一樣 。
it was a historical day .	這是歷史性的一天 。
you can use it at ted .	你可以在ted使用它 。
so what the hell was that ?	那到底是什麼 ?
they were always best in class .	他們總是在課堂上最好 。
idea number three is listening .	第三個想法是聆聽 。
pretty amazing , huh ?	很棒嗎 ?
now , they are leaders .	他們是領袖 。
cities are learning from each other .	城市互相學習 。
probably , like , none .	或許 , 沒有 。
but he did have one thing .	但他做了一件事 。
how many children did you have ?	你有多少孩子嗎 ?
i document dreams .	我紀錄了夢想 。
i became a parent .	我成了家長 。
what kind of world is this ?	這個世界是什麼樣子 ?
not very well at all .	完全不好 。
and no one got killed .	沒有人被殺了 。
they felt empowered .	他們覺得有能力 。
it's an old idea .	這是個古老的想法 。
now , why does this happen ?	為什麼會這樣呢 ?
they become building steel .	他們成了鋼鐵 。
we need to believe in ourselves .	我們需要相信自己 。
so let's do that .	讓我們這樣做 。
and roger helped me .	羅傑幫助我 。
that's the key thing .	這就是關鍵 。
it all sounds the same .	聽起來都一樣 。
it's a new experience .	這是一個新的經驗 。
but you can do other things .	但你可以做其他的事 。
and lots of people watch .	很多人在看 。
she's gone . "	她走了 。 」
what percentage of the time ?	時間的百分比呢 ?
i'm kidding .	我正在開玩笑 。
this is nine of them .	這是其中九個 。
that would be a beautiful thing .	這是一個美麗的東西 。
they cross over .	他們跨越了 。
and it's pretty simple .	很簡單 。
they don't feel different .	他們感覺不一樣 。
that's actually not true .	這其實不是真的 。
so that's our job .	這就是我們的工作 。
that leaves this white space .	這留下了白色空間 。
" all right . ok . "	「 好 。 」
who do you think you are ?	你認為你是誰 ?
how do we create public space ?	我們要如何創造公共空間 ?
most parents would find that great .	大部分的父母會覺得這很棒 。
most of them work for companies .	他們大部分都為公司工作 。
i do , in any case .	在任何情況下 , 我都會做 。
and almost every state has one .	幾乎每個州都有一個 。
who do you run away from ?	你從誰逃離 ?
i know they care a lot .	我知道他們在乎很多 。
they can cost you a lot .	他們可以花很多錢 。
we stop ourselves from doing things .	我們阻止自己做事 。
that plan has worked thanks .	這個計畫成功了 。
sometimes they agree .	有時他們同意 。
stop running around starving .	停止挨餓 。
he played . he won .	他玩了 。 他贏得了 。
we live in the world together .	我們生活在世界裡 。
ca: thank you so much .	克里斯:非常感謝 。
not quite ten percent .	百分之十 。
it's between buildings .	它是建築物之間的 。
they were very friendly .	他們非常友善 。
it has sensors .	它有感測器 。
and everyone was doing the same .	每個人都在做同樣的事
i totally lost it .	我完全失去了 。
what do you bring to it ?	你要帶給它什麼 ?
i've lost that count .	我失去了那個數字 。
" did you hear me ? "	「 你聽到我嗎 ? 」
her name i did not know .	她的名字我不知道 。
five million people have taken it .	五百萬人已經採取了 。
and we are considered less .	我們被視為比較少 。
the present you is hopeful .	你希望 。
it was in italy .	它在義大利 。
and it has more notes .	它有更多的音符 。
countries are going underwater .	國家正在水下 。
and you get something like this .	你得到像這樣的東西 。
because it's easy .	因為很簡單 。
we can fly around them .	我們可以飛過它們 。
the ocean is everything else .	海洋是其他的 。
that's the end .	這就是終點 。
which really bothers me .	這真的讓我感到困惑 。
that is how we live .	這就是我們生活的方式 。
so there we have it .	所以 , 我們有它 。
i had to step down .	我必須踏下去 。
now you have another choice .	現在你有另一個選擇 。
and i believe there is .	我相信有 。
i hope , i believe .	我希望 , 我相信 。
now , something else happened .	其他事情發生了 。
this is what we believe .	這就是我們所相信的 。
and we continue to build .	我們繼續建造 。
that's not true .	這不是真的 。
he nodded .	他放棄了 。
it's not easy .	這並不簡單 。
that , i am not .	我不是 。
this is seaweed .	這是海草 。
thank you . thank you .	謝謝 。 謝謝 。 謝謝 。
thank you very much .	謝謝大家 。
thank you very much .	謝謝大家 。
thank you so much everyone .	謝謝大家 。
here's the first .	這是第一個 。
i turn around . . .	我轉過來 。
thank you very much .	謝謝大家 。
so that is a fact .	這就是事實 。
thank you very much .	謝謝大家 。
here's his solution .	這是他的解決方案 。
your mental health ?	你的心理健康嗎 ?
why ? he made you .	為什麼 ? 他給你 。
i thought they were fun .	我覺得他們很有趣 。
sometimes you will trip .	有時候你會跳 。
for example , personality .	比如 , 個人性 。
again , see number one .	再一次 , 看看第一 。
" should we be there ?	「 我們該去那裡嗎 ?
more complex interiors .	更複雜的介入者 。
this week ? last week ?	這星期嗎 ? 去週 ?
we have to end this .	我們必須結束 。
i never saw his face .	我從來沒有看到他的臉 。
there were still fishes .	還是有魚 。
ella is stuck .	伊拉是堅硬的 。
be us , be we .	請我們 , 請我們 。
think about cpr .	想想cpr 。
how do you even start ?	你要如何開始呢 ?
how do we do that ?	我們要怎麼做呢 ?
" the business is on .	「 企業正在進行 。
we have done it before .	我們已經做到了 。
where did this all begin ?	這一切從哪裡開始 ?
dana: that way .	達娜:這樣 。
so what could this mean ?	這代表什麼 ?
so curiosity .	好奇心 。
and we did good . "	我們做得很好 。 」
so step one . . .	一步 。
question for you , though .	不過 , 對你來說 , 這個問題 。
and what do you say ?	你說什麼 ?
are we not children ?	我們不是孩子 ?
so where are they ?	他們在哪裡 ?
we married .	我們結婚了 。
we all have problems .	我們都有問題 。
was that computer music ?	那台電腦音樂嗎 ?
but that is great .	但這很棒 。
thank you so much .	謝謝大家 。
don't tell .	別說 。
you can see this .	你可以看到 。
it's not .	不是 。
let’s go .	我們來吧 。
feeding time .	餵食時間 。
i like being happy .	我喜歡快樂 。
pretty good , right ?	很好 , 對吧 ?
the body is political .	身體是政治 。
maybe even deeply .	也許更深入 。
one was jason .	第一是傑森 。
it was pretty hard .	非常困難 。
make it bigger .	讓它更大 。
my work thanks .	我的工作感謝 。
what would i feel ?	我覺得什麼 ?
we can't .	我們不能 。
little line down there .	下面的小線 。
we have both .	我們有兩種 。
there it is .	這裡有 。
this is important .	這很重要 。
have sex .	性愛 。
nothing at all .	完全沒有 。
they helped .	他們幫忙 。
they saw everything .	他們看到了一切 。
it really is .	真的是如此 。
i made this .	我做了這個 。
doctor: now ?	醫生:現在嗎 ?
but many die .	但很多人死亡 。
open up now .	現在開放了 。
yes , more .	是的 , 更多 。
something stronger ?	更強壯嗎 ?
then another thing .	另外一件事 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
deny .	親愛 。
grouper ?	團體 ?
fear not .	恐懼不是 。
hi everybody .	嗨 。
shy ?	嘿 ?
but why ?	但是為什麼呢 ?
thank you .	謝謝 。
thank you .	謝謝 。
you know ?	你知道嗎 ?
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
no .	不 。
right ?	對吧 ?
right ?	對吧 ?
order .	秩序 。
right ?	對吧 ?
right ?	對吧 ?
the idea of the good country is basically very simple .	好的國家基本上很簡單 。
or rather , we get educated out of it .	反而 , 我們受教育 。
he loved intellectual battle .	他喜歡智力戰役 。
rap , of course , rap freestyle .	拉普 , 當然 , 拉普自由 。
arthur samuel knew strategy .	亞瑟·薩米爾知道策略 。
and i learned a whole bunch of really interesting stuff .	我學到了很多有趣的東西 。
but journalism isn't dead .	但記者並不死 。
this wasn't invented recently .	這不是最近發明的
and so that seemed sufficiently interesting .	這似乎很有趣 。
but look at all the electrodes around it .	但看看周圍所有的電極 。
i'm going to give you just two examples today .	今天我要給你們兩個例子
and so this is something that we should be able to design .	這就是我們應該設計的東西 。
most of our planet is in eternal darkness .	我們大部分的地球都是永恆的黑暗 。
it's good for improving people's lives .	對改善人們的生活有益 。
so i'd like to think it was a good sign .	我想這是一個好標誌 。
but it doesn't happen automatically .	但它不會自動發生 。
it doesn't have to be always dissection .	這不一定總是讓人沮喪 。
so here we're looking from the south , look north .	這裡我們從南方看北方
clouds are blocking the view .	雲朵正在阻擋這個觀點 。
that is why millions of people doodle .	這就是為什麼數以百萬計的人聚在一起 。
this is the storage system that he designed .	這是他設計的儲存系統 。
you also have this idea for bicycles .	你也對自行車有這種想法 。
of course , these are extreme examples .	當然 , 這些都是極端的例子 。
looked like a ladybug , right ?	看起來像個女士 , 對吧 ?
well , what did i do when i was a kid ?	當我還是個孩子時 , 我該怎麼辦 ?
scientists tell us that vaccines are safe .	科學家告訴我們疫苗是安全的 。
it can hear , it holds memories .	它可以聽見 , 它有記憶 。
the same thing happens when you get something spinning .	同樣的事情發生在你身上 。
the bridge was far too flexible .	橋樑太彈性了 。
now we're talking the potential for real change .	現在我們要談真正的改變 。
i basically force people to tell me what they think .	基本上 , 我強迫人們告訴我他們的想法 。
we have some serious work still to do .	我們還有一些嚴肅的工作 。
what matters is that there are a lot of them .	重要的是 , 他們有很多 。
the first pattern always kind of shocked me .	第一個模式總是讓我震驚 。
we've covered purpose already .	我們已經覆蓋了目的 。
but the bubble doesn't last long .	但泡沫並不長 。
so here's another few people trying it out .	這裡還有幾個人試過 。
and this is doug engelbart .	這是dougelbart 。
this is a hotel in bolivia .	這是波利維亞的旅館 。
and bell then goes on to explain to the students .	接著 , 貝爾會向學生解釋 。
i have a prescription for you .	我對你們有一些預言 。
and someone sits down and draws a picture .	有人坐下來畫一張照片 。
i was awakened once during the night .	晚上我醒來 。
it's right here , let's use it .	在這裡 , 讓我們用它 。
the second lesson i learned is about harmony .	我學到的第二課是關於和諧 。
i'm trying , i'm trying .	我正在嘗試 , 我正在嘗試 。
that's not what we're talking about .	這不是我們談論的 。
and this was an inspiration to me .	這是我靈感的 。
best of all , images . just a simple image .	最好的 , 影像 , 只是一個簡單的圖像 。
and it was the same everywhere . . .	無論哪裡都一樣 。
well , the clerks are the computers .	嗯 , 爬板是電腦
but it just isn't changing fast enough .	但這不夠快 。
compassion is going to be limited .	同情心會受到限制 。
well there's an answer that many people would give .	有很多人會提供答案 。
and i think they’re breathing .	我認為他們正在呼吸 。
only the best ones can survive .	唯一能存活下來的人 。
but hey , we're on ted time .	但嘿 , 我們在ted上 。
they cannot deal with multiplicity .	他們無法處理多次性 。
they want to do it , too , and they can .	他們也想這麼做 , 他們也可以 。
we're even doing this on purpose .	我們甚至在做這件事 。
and what you need to do is listen to your body .	你需要做的是聆聽你的身體 。
the rebels be rockin' .	反叛是搖滾 。
would you call out your answers , please ?	你會說出你的答案 , 拜託嗎 ?
that hurts me just to look at .	這讓我感到傷害 。
so again , that was a real good match .	同樣的 , 這是一個很好的比賽 。
we are the ones who share the stories online .	我們是網路上分享故事的人 。
what's actually the scope of the problem ?	問題的情況是什麼 ?
we don't have time to waste for that .	我們沒有時間浪費 。
this would be truly incredible .	這真的很棒 。
and he was very , very sorry .	他很抱歉 。
but i'm not here to talk about music today .	但我今天不是要談音樂 。
this is a worldchanging invention .	這是一個世界改變的發明 。
i promise , you'll love it .	我承諾 , 你會愛它 。
how did you make all these people pay for music ? "	你要如何讓這些人付錢給音樂 ? 」
or maybe you see a topless sunbather .	或者你看到一個無頂尖的陽光 。
so you go to the doctor and get some tests .	所以你去醫生 , 得到一些測試 。
sk: it's really awful .	sk:非常糟糕 。
everything is about your town , where you live .	一切都是關於你的城鎮 , 你住的地方 。
and we knew that we were losing co2 .	我們知道我們失去二氧化碳 。
and boy , they were like , " what ? why ?	男孩們說: 「 什麼 ? 為什麼 ?
i mean , i could tell you hundreds of them .	我的意思是 , 我可以告訴你數百個 。
pain is something that can make your life miserable .	疼痛是可以讓你的生活不可思議的 。
more money , less drugs . hmm .	更多的錢 , 較少的毒品 。
they put it in albany rather than new york .	他們把它放在亞伯尼 , 而不是紐約 。
of your team , only hedge can fit .	你的團隊 , 只有海吉可以適應 。
stairs add enormous drama .	樓梯加上巨大的戲劇
the potential gains here are enormous .	這裡有很大的潛力 。
have you ever been approached by strangers ?	你曾經被陌生人接觸過嗎 ?
this piece could fire a shell every four seconds .	這件作品每四秒都能發出一座羊 。
in angola or afghanistan .	在亞哥拉或阿富汗 。
that's the pantheon next to it .	這是它旁邊的慌張 。
but soon we realized we were novices .	但很快地我們意識到我們是不見的 。
i'm not diego rivera or something .	我不是演算法 , 或某樣東西 。
and already today this is 25 , 000 images .	今天已經有25 , 000張照片 。
clearly , i need to walk home from ted .	顯然 , 我需要從ted回家 。
so you're going to miss the earth again .	所以你再次誤解地球 。
no ? yes ? doesn't matter , it worked .	不是嗎 ? 沒關係 , 成功了 。
and perhaps in life , movements get better through learning .	也許在生命中 , 運動透過學習來得更好 。
