and i think that's where we are .	我認為那就是我們所在的地方 。
we can bring about change in the society . "	我們可以在社會中帶來改變 。 」
i mean he had laid it all out .	我的意思是 , 他把一切都拉出來 。
now that can still be a lot of money .	現在 , 還可以賺很多錢 。
and then he told her , get up .	然後他告訴她 , 上升了 。
let me tell you about mahabuba .	讓我告訴各位 , 馬哈伯巴巴巴巴 。
it can't even play chess .	它甚至無法演奏中棋 。
let them take long lunches .	讓他們長午餐 。
public space . this is a good public space .	公共空間 。 這是一個很好的公共空間 。
these are archival tags .	這些是建築標籤 。
he's also a eugenist .	他也是個青少年 。
we call those pulsars .	我們稱之為脈衝 。
and then we've done a third thing .	然後我們做了第三件事 。
anyone here want to be paid well ?	這裡有誰想得到資金 ?
i mean , you've changed the future .	我的意思是 , 你改變了未來 。
so multilateralism works .	所以 , 多種主義有用 。
in many ways , it was worse .	在許多方面 , 很糟糕 。
here comes the crazy moment .	這是很瘋狂的時刻 。
this is a season of grace .	這是穀物的季節 。
so this is really exciting to me .	這對我很興奮 。
let's think about data for a bit .	咱們來想想數據 。
it was only because of our passports .	只是因為我們的護理 。
why phosphorus in particular ?	為什麼磷特別是磷呢 ?
my job depends upon it .	我的工作取決於它 。
so we can see how the process works .	我們可以看到過程是如何運作的 。
it's called light pollution .	它叫做光污染 。
they lose the strategy .	他們失去了策略 。
they got to work on what they could do .	他們開始研究他們能做些什麼 。
you had to do everything to get your phone .	你必須做每件事 , 才能取得你的手機 。
he'll be alone for a while .	他會孤單一陣子 。
my parents are both salespeople .	我的父母都是銷售者 。
and i know that it's not easy .	我知道這不容易 。
and i was there with my arms open .	當時我和我的手臂打開了 。
they breathe easier .	他們呼吸比較容易 。
the idea is very , very simple .	這個想法很簡單 。
i want you to wait for just one second .	我希望你們等一下 。
we really struggle to do this .	我們真的很努力去做這件事 。
remember my buddy , art ?	記得我爸爸 , 藝術 ?
is that a difficult position for you ?	那對你來說是一個困難的位置嗎 ?
let's do this and do it now .	現在我們來做這個 , 做吧 。
and there's no adaption .	沒有適應性 。
so they would go and build huge structures .	所以他們會去建造巨大的結構 。
i remember so vividly that day .	我記得那天如此明顯 。
girls are trained to please .	女孩受過訓練 , 請求 。
these are not dying peoples .	這些不是死亡的人 。
to what extent are these people right ?	對這些人來說 , 這些人是對的嗎 ?
they're not rich at all .	他們根本不富有 。
what do you want your life to look like ?	你希望你的人生看起來是什麼樣子 ?
they're always happy when i do that .	當我這麼做時 , 他們總是很開心 。
it's not . a is true here .	不是 。 這裡是真的 。
