and i think that's where we are .	我認為這就是我們所在的地方 。
we can bring about change in the society . "	我們可以在社會中帶來改變 。 」
i mean he had laid it all out .	我的意思是 , 他全部都放棄了 。
now that can still be a lot of money .	現在還可以賺很多錢 。
and then he told her , get up .	然後他告訴她 , 站起來 。
let me tell you about mahabuba .	讓我告訴你馬哈巴巴巴 。
it can't even play chess .	它甚至不能玩棋 。
let them take long lunches .	讓他們長午餐 。
public space . this is a good public space .	公共空間 。 這是一個很好的公共空間 。
these are archival tags .	這些是建築標籤 。
he's also a eugenist .	他也是青少年人 。
we call those pulsars .	我們稱之為脈衝 。
and then we've done a third thing .	然後我們做了第三件事 。
anyone here want to be paid well ?	這裡有沒有人想要付得好嗎 ?
i mean , you've changed the future .	我的意思是 , 你已經改變了未來 。
so multilateralism works .	所以 , 多種主義有用 。
in many ways , it was worse .	在許多方面 , 更糟糕 。
here comes the crazy moment .	這是很瘋狂的時刻 。
this is a season of grace .	這是墳墓的一季 。
so this is really exciting to me .	這對我來說很興奮 。
let's think about data for a bit .	讓我們稍微想想數據 。
it was only because of our passports .	只是因為我們的運輸 。
why phosphorus in particular ?	為什麼磷特別特別是磷呢 ?
my job depends upon it .	我的工作取決於它 。
so we can see how the process works .	我們可以看到過程是如何運作的
it's called light pollution .	它叫做光污染 。
they lose the strategy .	他們失去了策略 。
they got to work on what they could do .	他們必須要研究他們能做的事 。
you had to do everything to get your phone .	你必須每件事都要做 。
he'll be alone for a while .	他會孤單一陣子 。
my parents are both salespeople .	我的父母都是銷售者 。
and i know that it's not easy .	我知道這並不容易 。
and i was there with my arms open .	我和我的手臂打開了 。
they breathe easier .	他們呼吸比較容易 。
the idea is very , very simple .	這個想法非常簡單 。
i want you to wait for just one second .	我希望你們等一下 。
we really struggle to do this .	我們真的很努力做這件事 。
remember my buddy , art ?	記得我的佛祖 , 藝術嗎 ?
is that a difficult position for you ?	這是對你來說困難的位置嗎 ?
let's do this and do it now .	現在我們來做這件事 , 來做吧 。
and there's no adaption .	沒有適應 。
so they would go and build huge structures .	所以他們會去建造巨大的結構 。
i remember so vividly that day .	我記得那天如此明顯 。
girls are trained to please .	女孩被訓練到請求 。
these are not dying peoples .	這些不是死去的人 。
to what extent are these people right ?	對這些人來說是對的嗎 ?
they're not rich at all .	他們完全沒有錢 。
what do you want your life to look like ?	你希望你的生活看起來是什麼樣子 ?
they're always happy when i do that .	當我這麼做時 , 他們總是快樂 。
it's not . a is true here .	不是 。 這裡是真的 。
" yeah , both my parents are black .	「 是的 , 我的父母都是黑人 。
i see the looks on your faces .	我看到你的臉 。
this is what happened in tunisia .	這是在突尼西亞發生的事情 。
but why do i have to go to school ?	但我為什麼要去上學呢 ?
i want to leave you with one last thought .	我想留給你們最後一個想法 。
the other boy was fernando .	另一個男孩是佛羅蘭 。
what would they do under the same conditions ?	他們在同樣的情況下會做什麼 ?
east to west , right ?	對西方來說 , 對嗎 ?
but there's a catch here .	但這裡有一隻貓 。
and this is the first stop along the line .	這是第一條停在線上 。
how many followers have i gained ?	我得到了多少追蹤者 ?
let me show you what it looks like .	讓我向你們展示它的樣子 。
one is face recognition .	第一個是臉孔辨識 。
this guy thought in the same way i did .	這傢伙和我一樣的想法 。
well today , this is only a year later .	今日 , 這只是一年後 。
we don't tell them to do anything .	我們不會告訴他們做任何事 。
is migration really a choice ?	移民真的是個選擇嗎 ?
so i obviously declined to invest .	所以 , 我很明顯地決定要投資 。
jc: it makes perfect sense to me .	jc:對我來說是合理的 。
the question is: how do we do it ?	問題是:我們該怎麼做 ?
we tried to understand how we can help .	我們試圖了解如何幫助 。
mb: i know , i know .	mb:我知道 。
people applaud in delight .	人們很開心 。
it doesn't have a name yet .	還沒有名字 。
they figure there must be more to it .	他們認為一定有更多的意義 。
len is an introvert .	萊恩是內向的 。
do you know what i wanted to be ?	你們知道我想要做什麼 ?
the other , in nuances .	另一種 , 在營養上 。
but it didn't work that way .	但它並沒有這樣運作 。
and why won't they do that ?	他們為什麼不這麼做 ?
it's too riskaverse .	太冒險了 。
it has weeping water right now .	它現在正在流入水 。
and we're going to walk in .	我們要走進去 。
so it allows it to roll .	所以它可以滾動它 。
the mission didn't work .	任務沒有用 。
he'd been tortured .	他被灌輸了 。
but that , too , is not enough .	但那也不夠 。
i ran through the numbers myself .	我自己穿過數字 。
they , too , are doing great work .	他們也做得很好 。
i believe he is selling hope .	我相信他在賣希望 。
but it cannot do it alone .	但它不能獨自做 。
but then i started to realize something .	但後來我開始意識到一些事情 。
who just turned out the lights ? "	誰只是把燈光轉出去 ? 」
this is him on the screen .	這是他在螢幕上 。
and there's the sheep .	還有羊 。
so this is how you vote .	這就是你投票的方式 。
so i couldn't handle it .	所以我無法處理它 。
the negatives are gone .	負面的狀況已經消失了 。
the female is flightless .	雌性是沒有飛行的 。
the second thing is , the health issue .	第二件事是 , 健康問題 。
and it uses no fuel .	它沒有燃料 。
these are absurdities .	這些是荒謬的 。
number three: property rights .	第三:財產權 。
well why would i bother doing that ?	為什麼我會感到困擾 ?
the same is true of the political field .	政治領域也是如此 。
there's more that can be done .	可以做得更多 。
well , consciousness . "	意識 。 」
do you have a ring as well ?	你還有一條線嗎 ?
that's that's not true .	這不是真的 。
it's fed by . . .	它被餵食了 。
an invitation , a challenge ?	一個邀請、挑戰 ?
but you know what happened to my country .	但你知道我的國家發生了什麼事 。
how are you coping with the fear ?	你要如何面對恐懼 ?
their rate is about 12 percent .	他們的速度大約是12% 。
bmw is a pretty safe car .	bmw是一個很安全的汽車 。
in 1975 , he lost again .	1975年 , 他再次失去了 。
it's such a beautiful little machine .	這是一個美麗的小機器 。
our experience is where we're from .	我們的經驗是我們從此而來的 。
they're more american than anything else .	他們比任何其他的美國人還多 。
why did we use that word , science ?	為什麼我們要用這個詞 , 科學呢 ?
gone , gone , gone .	沒錯 , 沒錯 。
so , what is the future of cities ?	所以 , 城市的未來是什麼 ?
but , like , really crying .	但 , 真的很哭 。
ok , how about some good news ?	好吧 , 有些好消息呢 ?
they showed bloody gums .	他們秀出了血流 。
of course this is how americans think .	當然 , 這是美國人的想法 。
there are different paradigms .	有不同的範例 。
this is my favorite one .	這是我最喜歡的 。
we opened women's learning center .	我們打開了女性的學習中心 。
the children are at the table .	孩子們在桌子上 。
this is the warp and weft .	這是暖化和軟體 。
and yes , we africans can .	沒錯 , 我們非洲人可以 。
they were seeing something magical .	他們看到一些神奇的東西 。
madison was astonished .	馬迪森很驚訝 。
well , we got hundreds of ideas .	我們有數百個想法 。
i don't know anything about you .	我不知道你們什麼 。
it was the most in new york history .	這是紐約歷史上最多的 。
now each company handles it different ways .	現在每個公司都用不同的方式處理它 。
number three: rally your allies .	第三:租你的盟友 。
it has wonderful properties .	它有很棒的特性 。
dr . adam neiman .	亞當尼曼博士 。
salaam alaikum .	薩拉姆阿拉克 。
and we see the mother in every being .	我們看到每一位母親 。
and finally , dogmatism .	最後 , 狗主義 。
ab: and what month ?	ab:什麼月 ?
instead , we spend our time talking .	相反地 , 我們花時間談話 。
we made this game in 2007 .	我們在2007年做了這個遊戲 。
so it's time for change .	所以 , 該是改變了 。
we can push through that .	我們可以把這些推進去 。
somebody else has a design for it .	其他人也設計了它 。
it is a biological computer .	這是生物電腦 。
so , that's the system .	這就是這個系統 。
it's a ways out still .	這仍然是如此 。
it's cumulative .	它是消費者 。
it is time to scale this up .	該如何擴大它 。
she had to look like a man .	她必須看起來像個男人 。
or did you get fired up ?	還是你被打開了嗎 ?
" please , help me .	「 拜託 , 幫助我 。
what would it take to change that ?	該怎麼改變呢 ?
and some came from england .	有些人來自英國 。
they seemed to speak to me .	他們似乎對我說話 。
zabalaza .	zabalaza 。
pay up , because we did it .	付錢 , 因為我們做到了 。
you really can make this change happen .	你真的可以做出改變 。
a voodoo experiment .	投票實驗 。
there was no way they could win .	他們沒有辦法贏 。
and we get a lot of that .	我們得到了很多 。
you overcompensate .	你克服了 。
there's still time to lead .	還是有時間領導 。
so here is normal speed .	這是正常的速度 。
i'm only kidding .	我只是在開玩笑 。
so it was all about the data .	所以這一切都是關於數據的 。
but i will do a trial .	但我會做一個試驗 。
it is a chess game .	這是個西洋棋遊戲 。
it is also unstable .	這也是不可能的 。
earth is having a fever .	地球有一條命運 。
you should have started with z .	你應該從z開始 。
why would they cooperate ?	他們為什麼要合作 ?
his vision was pretty poor .	他的願景很貧窮 。
there are two general types .	有兩個普遍的類型 。
now , here's the story .	現在 , 這是故事 。
that means we can do it again .	那就意味著我們可以再做一次 。
really expedites the process .	真正的探索過程 。
what would we think of ourselves then ?	那時我們會想到什麼 ?
and we need to train them right .	我們需要訓練他們對 。
this is the view from the inside .	這是內部的景象 。
and i remember the first letter .	我記得第一封信 。
maybe some of them are here now .	也許有些人現在在這裡 。
it's not just another day .	這不只是一天 。
the first step is attention training .	第一步是注意力訓練 。
you know who else is doing that ?	你知道 , 還有誰在做這件事 ?
ks: yay !	kay !
some shots go through quickly .	有些照片很快就發生了 。
poaching oh , no way .	教你喔 , 沒辦法 。
sixtyfive . wow .	六十五歲 。 哇 。
we still use heparin today .	今天我們仍然使用hehealin 。
imagine that you run a cafe .	想像你跑咖啡 。
he went out and did an experiment .	他出去做了一個實驗 。
congratulations .	恭喜 。
let me tell you who i am .	讓我告訴你我是誰 。
this is one tough robot .	這是一個艱難的機器人 。
there were two lines in it .	裡面有兩條線 。
actually , no , there are three .	事實上 , 不 , 這裡有三個 。
many want to be part of this .	很多人想要成為其中一部分 。
they cannot prevent this .	他們無法避免 。
will he be able to be normal ?	他是否能正常嗎 ?
or even a little bit like this ?	或甚至有點像這樣嗎 ?
we all have to lead the change .	我們都必須領導改變 。
titus was so bitter .	潮流是如此的 。
this is what it looks like .	這是它的樣子 。
you can be that great generation . "	你可以成為偉大的世代 。 」
maybe you saw discomfort .	也許你看到不舒服 。
it wasn't even out yet .	還沒出去 。
so dina , this is amazing .	所以 , 迪娜 , 這很神奇 。
to me , that represents hope .	對我來說 , 這代表希望 。
surfaces can become porous .	表面可以變得很普遍 。
and so was darwin .	這是達爾文 。
nm: uh , sure .	娜:嗯 , 當然 。
he speaks english .	他說英語 。
and that's a simple question .	這是一個簡單的問題 。
the second thing is video games .	第二件事是電玩遊戲 。
and so it should be with us .	所以應該和我們一起 。
why do we want to do this ?	我們為什麼要這麼做 ?
as it did in spain .	就像西班牙一樣 。
it was a historical day .	這是歷史的一天 。
you can use it at ted .	你可以在ted上使用它 。
so what the hell was that ?	所以 , 到底是什麼 ?
they were always best in class .	他們總是在課堂上最好 。
idea number three is listening .	第三個想法是聆聽 。
pretty amazing , huh ?	很不可思議吧 ?
now , they are leaders .	他們是領導者 。
cities are learning from each other .	城市互相學習 。
probably , like , none .	可能是 , 沒有人 。
but he did have one thing .	但他做了一件事 。
how many children did you have ?	你有多少孩子 ?
i document dreams .	我紀錄夢想 。
i became a parent .	我變成了家長 。
what kind of world is this ?	什麼樣的世界呢 ?
not very well at all .	完全不好 。
and no one got killed .	沒有人被殺了 。
they felt empowered .	他們覺得自己有能力 。
it's an old idea .	這是個古老的想法 。
now , why does this happen ?	為什麼會這樣呢 ?
they become building steel .	他們變成了鋼鐵 。
we need to believe in ourselves .	我們需要相信自己 。
so let's do that .	咱們來做吧 。
and roger helped me .	羅傑幫助我 。
that's the key thing .	這就是關鍵 。
it all sounds the same .	聽起來都一樣 。
it's a new experience .	這是一種新的經驗 。
but you can do other things .	但你可以做其他事 。
and lots of people watch .	很多人看著 。
she's gone . "	她已經走了 。 」
what percentage of the time ?	有多少時間呢 ?
i'm kidding .	我開玩笑 。
this is nine of them .	這是其中九個 。
that would be a beautiful thing .	那會是個美好的事情 。
they cross over .	他們跨越了 。
and it's pretty simple .	很簡單 。
they don't feel different .	他們感覺不一樣 。
that's actually not true .	這其實不是真的 。
so that's our job .	這就是我們的工作 。
that leaves this white space .	這留下了白色空間 。
" all right . ok . "	「 好 。 好 。 」
who do you think you are ?	你認為你是誰 ?
how do we create public space ?	我們要如何創造公共空間 ?
most parents would find that great .	大部分的父母會發現這很棒 。
most of them work for companies .	他們大部分都為公司工作 。
i do , in any case .	無論如何 , 我還是這樣 。
and almost every state has one .	幾乎每個州都有一個 。
who do you run away from ?	你是誰 ?
i know they care a lot .	我知道他們很在乎 。
they can cost you a lot .	他們可以花很多錢 。
we stop ourselves from doing things .	我們阻止自己做事 。
that plan has worked thanks .	這項計劃已經成功了 。
sometimes they agree .	有時他們同意 。
stop running around starving .	停止挨餓 。
he played . he won .	他玩了 。 他贏了 。
we live in the world together .	我們一起生活在世界 。
ca: thank you so much .	克里斯:非常感謝大家 。
not quite ten percent .	百分之十 。
it's between buildings .	它是建築物之間的 。
they were very friendly .	他們很友善 。
it has sensors .	它有感測器 。
and everyone was doing the same .	大家都一樣做 。
i totally lost it .	我完全失去了它 。
what do you bring to it ?	你要帶給它什麼 ?
i've lost that count .	我失去了這個數字 。
" did you hear me ? "	「 你聽到我嗎 ? 」
her name i did not know .	她的名字我不知道 。
five million people have taken it .	五百萬人已經接受了 。
and we are considered less .	我們越來越少考慮到 。
the present you is hopeful .	現在你希望 。
it was in italy .	它是在義大利 。
and it has more notes .	它有更多的音符 。
countries are going underwater .	國家正在水下 。
and you get something like this .	你得到像這樣的東西 。
because it's easy .	因為很容易 。
we can fly around them .	我們可以繞著它們飛行 。
the ocean is everything else .	海洋是其他的 。
that's the end .	這就是終點 。
which really bothers me .	這真的讓我感到困擾 。
that is how we live .	這就是我們的生活方式 。
so there we have it .	所以 , 我們有了 。
i had to step down .	我必須走下去 。
now you have another choice .	現在你有另一個選擇 。
and i believe there is .	我相信有 。
i hope , i believe .	我希望 , 我相信 。
now , something else happened .	現在 , 其他事情發生了 。
this is what we believe .	這就是我們所相信的 。
and we continue to build .	我們繼續建造 。
that's not true .	這不是真的 。
he nodded .	他發音了 。
it's not easy .	這並不容易 。
that , i am not .	我不是 。
this is seaweed .	這是海草 。
thank you . thank you .	謝謝 。 謝謝 。
thank you very much .	謝謝大家 。
thank you very much .	謝謝大家 。
thank you so much everyone .	非常感謝大家 。
here's the first .	這是第一個 。
i turn around . . .	我轉身來了 。
thank you very much .	謝謝大家 。
so that is a fact .	這就是事實 。
thank you very much .	謝謝大家 。
here's his solution .	這是他的解決方案 。
your mental health ?	你的心理健康嗎 ?
why ? he made you .	為什麼 ? 他給了你 。
i thought they were fun .	我覺得他們很有趣 。
sometimes you will trip .	有時候你會跳 。
for example , personality .	例如 , 個人 。
again , see number one .	再一次 , 看看第一個 。
" should we be there ?	「 我們應該在那裡嗎 ?
more complex interiors .	更複雜的內部 。
this week ? last week ?	這星期嗎 ? 上週 ?
we have to end this .	我們必須結束 。
i never saw his face .	我從來沒有看過他的臉 。
there were still fishes .	仍然有魚類 。
ella is stuck .	伊拉是被困擾的 。
be us , be we .	身為我們 , 我們 。
think about cpr .	想想cpr 。
how do you even start ?	你要如何開始呢 ?
how do we do that ?	我們該怎麼做呢 ?
" the business is on .	「 企業正在進行 。
we have done it before .	我們以前已經做到了 。
where did this all begin ?	這一切從何開始 ?
dana: that way .	丹娜:那是這樣 。
