i want to leave you with one last thought .	我想給你們一個想法 。
we really struggle to do this .	我們真的很掙扎 。
now that can still be a lot of money .	這仍然可以有很多錢 。
it can't even play chess .	它甚至不能玩笑 。
and then he told her , get up .	然後他告訴她 , 上升了 。
we can bring about change in the society . "	我們可以在社會上改變 。 」
let them take long lunches .	讓我們花長長長的時間 。
i want you to wait for just one second .	我希望你們等一下一秒 。
i mean he had laid it all out .	我的意思是他已經開了 。
but there's a catch here .	但這裡有個洞穴 。
he's also a eugenist .	他也是個女兒 。
we don't tell them to do anything .	我們不告訴他們 ,
one is face recognition .	第一是臉孔 。
these are archival tags .	這些是黑猩猩 。
in many ways , it was worse .	在許多方面 , 這是很糟糕的 。
they're not rich at all .	他們並不是在所有人都不用 。
and then we've done a third thing .	然後我們做了第三件事 。
i mean , you've changed the future .	我的意思是 , 你已經改變了未來 。
so i obviously declined to invest .	所以 , 我很明顯地決定投資 。
and i was there with my arms open .	我和我的手臂開放 。
let's think about data for a bit .	咱們想想數據 。
why phosphorus in particular ?	為什麼在特別的照片 ?
it was only because of our passports .	僅是因為我們熱情的熱情 。
it's called light pollution .	叫做燈泡 。
so we can see how the process works .	所以我們可以看到過程如何運作 。
my job depends upon it .	我的工作依賴它 。
they lose the strategy .	他們失去策略 。
he'll be alone for a while .	他會孤單一段時間 。
the phone rang and it was my doctor .	電話給我的醫生 , 這是我的醫生 。
so this is really exciting to me .	所以這真的很興奮 。
my parents are both salespeople .	我的父母都很悲傷 。
and i know that it's not easy .	我知道這不是簡單的 。
they got to work on what they could do .	他們必須要在他們身上的工作 。
the idea is very , very simple .	想法非常簡單 。
they breathe easier .	他們會呼吸 。
let me tell you about mahabuba .	讓我告訴你們 , 哈哈哈佛 。
public space . this is a good public space .	公共空間 , 這是一個好公共空間 。
remember my buddy , art ?	記得我的女兒 , 藝術嗎 ?
the other boy was fernando .	另一位男孩是國會 。
girls are trained to please .	女孩被訓練去拜託 。
let's do this and do it now .	咱們現在就這樣做 。
to what extent are these people right ?	為了探索這些人權嗎 ?
what would they do under the same conditions ?	他們會在同樣的情況下做什麼 ?
i remember so vividly that day .	我記得那一天 , 我還記得 。
these are not dying peoples .	這些不是在鼓勵人們 。
and there's no adaption .	沒有適應 。
this guy thought in the same way i did .	這是我所做的 。
" yeah , both my parents are black .	「 是的 , 我的父母都是黑人 。
you had to do everything to get your phone .	你必須要把手機拿到手機 。
what do you want your life to look like ?	你希望你們的生活 ?
the other is obviously a computer mouse .	另一個顯然是電腦博物館 。
and you might save a ton of money .	你可能會拯救金金金錢 。
and charles started not liking that .	角色開始沒有限制 。
wikipedia changed the world , too .	維基已經改變了世界 。
let me show you what it looks like .	讓我給你們看看它的樣子 。
jc: it makes perfect sense to me .	約翰:這讓我感到非常感謝 。
the question is: how do we do it ?	問題是:我們要怎麼做 ?
is migration really a choice ?	移民真的是個選擇嗎 ?
mb: i know , i know .	db:我知道 , 我知道 。
this is a season of grace .	這是一張圖表的季節 。
we call those pulsars .	我們稱之為這些原則 。
anyone here want to be paid well ?	這裡的任何人都想做好嗎 ?
how many followers have i gained ?	我花了多少人在加入嗎 ?
and this is the first stop along the line .	這是第一次停止線索 。
so multilateralism works .	所以 , 多種文化的工作 。
here comes the crazy moment .	這是瘋狂的時刻 。
and i think that's where we are .	我認為這是我們所處的 。
east to west , right ?	東方的東方 , 對吧 ?
we tried to understand how we can help .	我們試圖了解我們如何幫助 。
so they would go and build huge structures .	所以他們會去建造巨大的結構 。
is that a difficult position for you ?	對你來說 , 難以置信很困難嗎 ?
well today , this is only a year later .	今天 , 這只是一年後 ,
it doesn't have a name yet .	還沒有名字 。
it has weeping water right now .	現在有了水 。
they figure there must be more to it .	他們想有更多的工具 。
and we're going to walk in .	我們要走進去 。
people applaud in delight .	人們會在微笑 。
the female is flightless .	雌性很不可思議 。
the second thing is , the health issue .	第二件事是 , 健康議題 。
the other , in nuances .	另一種 , 在營養中 。
the negatives are gone .	鄰居是黃金 。
len is an introvert .	洛杉磯是太空船 。
so it allows it to roll .	所以它可以讓它轉變 。
do you know what i wanted to be ?	你知道我想要成為什麼 ?
the mission didn't work .	任務沒有工作 。
he'd been tortured .	他一直在農業 。
i ran through the numbers myself .	我穿過數個數字 。
but it cannot do it alone .	但它不能用它 。
but that , too , is not enough .	但這也不夠了 。
this is the warp and weft .	這是戰爭和軟體 。
we opened women's learning center .	我們開放了女性學習中心 。
and it uses no fuel .	使用燃料 。
they , too , are doing great work .	他們也做得很好 。
this is him on the screen .	這是他在螢幕上 。
and there's the sheep .	這裡有噪音 。
so this is how you vote .	這就是你如何投票 。
so i couldn't handle it .	所以 , 我不能抓住它 。
number three: property rights .	第三:性權權 。
these are absurdities .	這些是城市的資源 。
the same is true of the political field .	這也是政治領域的真實 。
do you have a ring as well ?	你有一無聊嗎 ?
there's more that can be done .	有些可能可以做到 。
well , consciousness . "	意識是: 「 意識 。 」
but then i started to realize something .	但我開始了解一些事情 。
but it didn't work that way .	但它並不運作 。
it's too riskaverse .	這太危險了 。
that's that's not true .	這不是真的 。
well why would i bother doing that ?	為什麼我會這樣做 ?
it's fed by . . .	由此而已 。
and why won't they do that ?	為什麼他們不會這樣做 ?
an invitation , a challenge ?	邀請 , 一個挑戰嗎 ?
ab: and what month ?	db:嗯 , 月亮嗎 ?
and finally , dogmatism .	最後 , 狗 。
their rate is about 12 percent .	他們的策略是大約2% 。
how are you coping with the fear ?	你要如何用恐懼 ?
it's such a beautiful little machine .	這是一個美麗的機器 。
in 1975 , he lost again .	1975年 , 他失去了 。
our experience is where we're from .	我們的經驗是從哪裡來的 。
they're more american than anything else .	他們比其他人還要多 。
ok , how about some good news ?	好消息嗎 ?
gone , gone , gone .	拜託 , 去了 。
so , what is the future of cities ?	所以 , 城市的未來是什麼 ?
but , like , really crying .	但 , 就像 , 真的哭 。
why did we use that word , science ?	為什麼我們用這個詞 ? 科學 ?
they showed bloody gums .	他們看了血管 。
of course this is how americans think .	當然 , 這是美國人認為的 。
there are different paradigms .	有很多不同的悖論 。
this is my favorite one .	這是我最喜歡的 。
i believe he is selling hope .	我相信他很感情 。
and we see the mother in every being .	我們每次都會看到母親的母親 。
who just turned out the lights ? "	到底是誰 ? 」
well , we got hundreds of ideas .	我們有數百個想法 。
salaam alaikum .	撒哈拉 。
dr . adam neiman .	乾旱 。
it was the most in new york history .	這是紐約歷史史上最重要的 。
madison was astonished .	馬遜是華盛頓的 。
it has wonderful properties .	這是很棒的特質 。
i don't know anything about you .	我不知道你們的一切 。
instead , we spend our time talking .	我們花了時間談話 。
number three: rally your allies .	第三:你全部都是你所擁有的 。
they were seeing something magical .	他們看到魔術 。
and yes , we africans can .	是的 , 非洲人都可以 。
bmw is a pretty safe car .	b是很安全的汽車
but you know what happened to my country .	但你知道我的國家發生了什麼事 。
the children are at the table .	孩子在桌子上是可行的 。
now each company handles it different ways .	現在每個公司都有不同的方式 。
we can push through that .	我們可以透過這個 。
they seemed to speak to me .	他們似乎對我說話 。
it is a biological computer .	這是個生物電腦電腦 。
we made this game in 2007 .	我們在2007年做了這個遊戲 。
it's cumulative .	這是消費者 。
what would it take to change that ?	它會改變什麼 ?
so , that's the system .	所以 , 這是系統 。
somebody else has a design for it .	有人有一個設計的設計 。
really expedites the process .	非常遙遠的過程 。
and some came from england .	有些來自英國 。
