i want to leave you with one last thought .	我想留給你們最後一個想法 。
we really struggle to do this .	我們真的很掙扎做這件事 。
now that can still be a lot of money .	這還可以有很多錢 。
it can't even play chess .	它甚至無法玩棋盤 。
and then he told her , get up .	然後他告訴她 , 放棄了 。
we can bring about change in the society . "	我們能在社會上帶來改變 。 」
let them take long lunches .	讓他們長午餐 。
i want you to wait for just one second .	我希望你們等一下 。
i mean he had laid it all out .	我的意思是他把它放出來了 。
but there's a catch here .	但這裡有一個貓 。
he's also a eugenist .	他也是個醜陋的人 。
we don't tell them to do anything .	我們不告訴他們做任何事 。
one is face recognition .	第一是臉孔辨識 。
these are archival tags .	這些是建築標籤 。
in many ways , it was worse .	在許多方面 , 更糟糕 。
they're not rich at all .	他們根本沒有富裕 。
and then we've done a third thing .	然後我們做了第三件事 。
i mean , you've changed the future .	我的意思是 , 你改變了未來 。
so i obviously declined to invest .	我顯然決定投資 。
and i was there with my arms open .	我和我的手臂開放了 。
let's think about data for a bit .	讓我們想想數據 。
why phosphorus in particular ?	為什麼磷酸特別特別呢 ?
it was only because of our passports .	只有因為我們的傳遞 。
it's called light pollution .	它叫做光污染 。
so we can see how the process works .	我們可以看到過程是如何運作的 。
my job depends upon it .	我的工作依賴它 。
they lose the strategy .	他們失去策略 。
he'll be alone for a while .	他會孤單一陣子 。
the phone rang and it was my doctor .	這是我的醫生 。
so this is really exciting to me .	這對我來說很興奮 。
my parents are both salespeople .	我的父母都是銷售者 。
and i know that it's not easy .	我知道這不容易 。
they got to work on what they could do .	他們必須在他們能做的事上工作 。
the idea is very , very simple .	想法非常簡單 。
they breathe easier .	他們比較容易呼吸 。
let me tell you about mahabuba .	讓我告訴各位馬哈巴巴巴巴巴 。
public space . this is a good public space .	公共空間 。 這是個好公共空間 。
remember my buddy , art ?	記得我爸爸 , 藝術嗎 ?
the other boy was fernando .	另一位男孩是烏干達 。
girls are trained to please .	女孩被訓練為懲罰 。
let's do this and do it now .	現在我們來做這件事 。
to what extent are these people right ?	對於這些人是對的嗎 ?
what would they do under the same conditions ?	他們在同樣的情況下做什麼 ?
i remember so vividly that day .	我還記得那一天 。
these are not dying peoples .	這些不是死亡的人 。
and there's no adaption .	沒有適應 。
this guy thought in the same way i did .	這傢伙和我一樣想過 。
" yeah , both my parents are black .	「 沒錯 , 我的父母都是黑人 。
you had to do everything to get your phone .	你必須做任何事要拿手機 。
what do you want your life to look like ?	你希望你的生活看起來像什麼樣子 ?
the other is obviously a computer mouse .	另一個顯然是電腦博物館 。
and you might save a ton of money .	你可能省下一噸錢 。
and charles started not liking that .	查爾斯根本不在乎這件事 。
wikipedia changed the world , too .	維基百科也改變了世界 。
let me show you what it looks like .	讓我向各位展示它的樣子 。
jc: it makes perfect sense to me .	約翰:對我來說是合理的 。
the question is: how do we do it ?	問題是:我們該怎麼做 ?
is migration really a choice ?	移民真的選擇了嗎 ?
mb: i know , i know .	mb:我知道 。
this is a season of grace .	這是墳墓的季節 。
we call those pulsars .	我們稱之為 「 靈魂 」 。
anyone here want to be paid well ?	這裡有人想付好錢嗎 ?
how many followers have i gained ?	我收集了多少個追隨者 ?
and this is the first stop along the line .	這是第一條停止線 。
so multilateralism works .	多種族主義運作 。
here comes the crazy moment .	這是瘋狂的時刻 。
and i think that's where we are .	我認為這是我們所在的地方 。
east to west , right ?	對西方來說 , 對吧 ?
we tried to understand how we can help .	我們試圖了解我們如何協助 。
so they would go and build huge structures .	所以他們會去建造巨大的結構 。
is that a difficult position for you ?	這對你來說是困難的位置嗎 ?
well today , this is only a year later .	今天 , 只有一年之後 。
it doesn't have a name yet .	還沒有名字 。
it has weeping water right now .	它現在有天空水 。
they figure there must be more to it .	他們認為應該有更多 。
and we're going to walk in .	我們會走進去 。
people applaud in delight .	人們會感到沮喪 。
the female is flightless .	雌性很棒 。
the second thing is , the health issue .	第二件事是健康問題 。
the other , in nuances .	另一方面 , 在營養方面 。
the negatives are gone .	負面是去了 。
len is an introvert .	萊恩是個介紹 。
so it allows it to roll .	所以它能讓它轉動 。
do you know what i wanted to be ?	你們知道我想要做什麼 ?
the mission didn't work .	任務不行 。
he'd been tortured .	他被嚇壞了 。
i ran through the numbers myself .	我自己走過數字 。
but it cannot do it alone .	但它不孤單 。
but that , too , is not enough .	但那也不夠了 。
this is the warp and weft .	這是暖化和軟體 。
we opened women's learning center .	我們打開女性學習中心 。
and it uses no fuel .	它沒有燃料 。
they , too , are doing great work .	他們也做得很好 。
this is him on the screen .	這是他在螢幕上 。
and there's the sheep .	還有羊 。
so this is how you vote .	這就是你投票的方式 。
so i couldn't handle it .	所以我沒辦法洗手 。
number three: property rights .	第三:權利 。
these are absurdities .	這些是抽象 。
the same is true of the political field .	政治領域也一樣 。
do you have a ring as well ?	你還有一條弦嗎 ?
there's more that can be done .	可以做到更多 。
well , consciousness . "	意識 。 」
but then i started to realize something .	但後來我開始意識到 。
but it didn't work that way .	但它沒辦法這樣做 。
it's too riskaverse .	太危險了 。
that's that's not true .	這不是真的 。
well why would i bother doing that ?	為什麼我會這樣做呢 ?
it's fed by . . .	被遺忘了 。
and why won't they do that ?	為什麼他們不會這樣做呢 ?
an invitation , a challenge ?	一個邀請 , 一個挑戰嗎 ?
ab: and what month ?	亞伯:還有什麼月呢 ?
and finally , dogmatism .	最後 , 狗主義 。
their rate is about 12 percent .	他們的速度大約12% 。
how are you coping with the fear ?	你要如何面對恐懼 ?
it's such a beautiful little machine .	這是個很棒的機器 。
in 1975 , he lost again .	1975年 , 他再次失去了 。
our experience is where we're from .	我們的經驗是我們來自的地方 。
they're more american than anything else .	他們比任何其他的美國人還要多 。
ok , how about some good news ?	好吧 , 有些好消息呢 ?
gone , gone , gone .	去吧 , 去吧 !
so , what is the future of cities ?	所以 , 城市未來的未來是什麼 ?
but , like , really crying .	但 , 真的哭了 。
why did we use that word , science ?	我們為什麼用這個詞 ? 科學 ?
they showed bloody gums .	他們展示了血管 。
of course this is how americans think .	當然這是美國人的想法 。
there are different paradigms .	有不同的範例 。
this is my favorite one .	這是我最喜歡的 。
