i want to leave you with one last thought .	我想留給各位最後一個想法 。
we really struggle to do this .	我們真的很努力去做這件事 。
now that can still be a lot of money .	現在 , 這還是很大的錢 。
it can't even play chess .	它甚至無法演奏樂團 。
and then he told her , get up .	然後他告訴她 , 爬上去 。
we can bring about change in the society . "	我們可以在社會中帶來改變 。 」
let them take long lunches .	讓他們花很長的午餐 。
i want you to wait for just one second .	我希望你們等一下 。
i mean he had laid it all out .	我的意思是他把它拉出來 。
but there's a catch here .	但這裡有一隻貓 。
he's also a eugenist .	他也是個青少年人 。
we don't tell them to do anything .	我們不告訴他們做任何事 。
one is face recognition .	第一是臉孔辨識 。
these are archival tags .	這些都是阿基斯坦標籤 。
in many ways , it was worse .	在許多方面 , 它是更糟的 。
they're not rich at all .	他們完全不富有 。
and then we've done a third thing .	然後我們做了第三件事 。
i mean , you've changed the future .	我的意思是 , 你已經改變了未來 。
so i obviously declined to invest .	我很明顯地決定投資 。
and i was there with my arms open .	我和我的手臂開了 。
let's think about data for a bit .	咱們來想想資料 。
why phosphorus in particular ?	為什麼特別是攝影師呢 ?
it was only because of our passports .	只是因為我們的運輸運動 。
it's called light pollution .	它叫做光污染 。
so we can see how the process works .	我們可以看到過程是如何運作的 。
my job depends upon it .	我的工作取決於它 。
they lose the strategy .	他們失去了策略 。
he'll be alone for a while .	他會孤單一陣子 。
the phone rang and it was my doctor .	電話強暴 , 是我的醫生 。
so this is really exciting to me .	這對我很興奮 。
my parents are both salespeople .	我的父母都是銷售者 。
and i know that it's not easy .	我知道這並不容易 。
they got to work on what they could do .	他們必須在他們能做什麼 。
the idea is very , very simple .	這個想法很簡單 。
they breathe easier .	他們呼吸更容易 。
let me tell you about mahabuba .	讓我來告訴各位 , 馬哈布巴 。
public space . this is a good public space .	公共空間 。 這是一個很好的公共空間 。
remember my buddy , art ?	記得我爸 , 藝術嗎 ?
the other boy was fernando .	另一位男孩是盧安達 。
girls are trained to please .	女孩被訓練到請求 。
let's do this and do it now .	咱們來做這件事 , 做吧 。
to what extent are these people right ?	對這些人來說 , 這些人是對的嗎 ?
what would they do under the same conditions ?	他們會在同樣的情況下做什麼 ?
i remember so vividly that day .	我記得那天很明顯 。
these are not dying peoples .	這些不是死去的人 。
and there's no adaption .	沒有適應性 。
this guy thought in the same way i did .	這傢伙和我一樣想 。
" yeah , both my parents are black .	「 是啊 , 我的父母都是黑人 。
you had to do everything to get your phone .	你必須做每件事 , 才能取得手機 。
what do you want your life to look like ?	你希望你的人生看起來像什麼樣子 ?
the other is obviously a computer mouse .	另一種則顯然是電腦老鼠 。
and you might save a ton of money .	你可能會省下一噸的錢 。
and charles started not liking that .	查爾斯開始不在乎這件事 。
wikipedia changed the world , too .	維基百科也改變了這個世界 。
let me show you what it looks like .	讓我給各位看 , 它看起來像什麼樣子 。
jc: it makes perfect sense to me .	jc:對我來說 , 這對我來說是合理的 。
the question is: how do we do it ?	問題是:我們要怎麼做 ?
is migration really a choice ?	移民真的是個選擇嗎 ?
mb: i know , i know .	馬:我知道 , 我知道 。
this is a season of grace .	這是穀物的季節 。
we call those pulsars .	我們稱之為脈衝 。
anyone here want to be paid well ?	這裡有誰想付錢好嗎 ?
how many followers have i gained ?	我收集了幾位追蹤者嗎 ?
and this is the first stop along the line .	這是第一條停下來 。
so multilateralism works .	所以 , 多種道德主義是有效的 。
here comes the crazy moment .	這裡是瘋狂的時刻 。
and i think that's where we are .	我認為這就是我們所處的地方 。
east to west , right ?	東方到西方 , 對吧 ?
we tried to understand how we can help .	我們試圖了解我們如何幫助 。
so they would go and build huge structures .	所以他們會去建立大型結構 。
is that a difficult position for you ?	那對你來說是個困難的位置嗎 ?
well today , this is only a year later .	今天 , 這只是一年後 。
it doesn't have a name yet .	它還沒有名字 。
it has weeping water right now .	現在 , 它有了濕水 。
they figure there must be more to it .	他們認為一定會有更多的影響 。
and we're going to walk in .	我們要走進去 。
people applaud in delight .	人們在迪士比賽上很感興趣 。
the female is flightless .	女性很不可思議 。
the second thing is , the health issue .	第二件事是 , 健康問題 。
the other , in nuances .	另一種 , 在營養上 。
the negatives are gone .	負面會走上去 。
len is an introvert .	萊恩是介紹者 。
so it allows it to roll .	所以 , 它可以讓它轉動 。
do you know what i wanted to be ?	你們知道我想要做什麼 ?
the mission didn't work .	任務不通 。
he'd been tortured .	他被禁止了 。
i ran through the numbers myself .	我自己走過數字 。
but it cannot do it alone .	但它並不孤單 。
but that , too , is not enough .	但這也不夠 。
this is the warp and weft .	這是暖化和軟體 。
we opened women's learning center .	我們開放了女性的學習中心 。
and it uses no fuel .	它也用不到燃料 。
they , too , are doing great work .	他們也做得很好 。
this is him on the screen .	這是他在螢幕上 。
and there's the sheep .	還有羊 。
so this is how you vote .	這就是你投票的方式 。
so i couldn't handle it .	所以 , 我不能處理它 。
number three: property rights .	第三:財產權 。
these are absurdities .	這些都是荒謬的 。
the same is true of the political field .	政治領域也一樣 。
do you have a ring as well ?	你也有一條線嗎 ?
there's more that can be done .	可以做得更多 。
well , consciousness . "	嗯 , 意識 。 」
but then i started to realize something .	但後來我開始了解一些事情 。
but it didn't work that way .	但它並沒有這樣運作 。
it's too riskaverse .	這太危險了 。
that's that's not true .	這並不是真的 。
well why would i bother doing that ?	為什麼我會這樣做 ?
it's fed by . . .	它被過濾了 。
and why won't they do that ?	為什麼他們不會這樣做 ?
an invitation , a challenge ?	一個邀請 , 一個挑戰嗎 ?
ab: and what month ?	艾倫:那個月 , 什麼 ?
and finally , dogmatism .	最後 , 狗主義 。
their rate is about 12 percent .	他們的比率大約是12% 。
how are you coping with the fear ?	你要如何對待恐懼 ?
it's such a beautiful little machine .	這是一個很美麗的小機器 。
in 1975 , he lost again .	1975年 , 他再次失去了 。
our experience is where we're from .	我們的體驗就是我們來自的地方 。
they're more american than anything else .	他們比其他東西還要多美國人 。
ok , how about some good news ?	好 , 嗯 , 有些好消息呢 ?
gone , gone , gone .	去吧 , 去吧 , 去吧 。
so , what is the future of cities ?	那麼 , 城市的未來是什麼 ?
but , like , really crying .	但 , 就像 , 真的在哭泣 。
why did we use that word , science ?	我們為什麼要用這個詞 , 科學 ?
they showed bloody gums .	他們展示了血管槍 。
of course this is how americans think .	當然 , 這就是美國人的想法 。
there are different paradigms .	有不同的範例 。
this is my favorite one .	這是我最喜歡的一個 。
i believe he is selling hope .	我相信他在賣希望 。
and we see the mother in every being .	我們看到每一位母親 。
who just turned out the lights ? "	誰只是把燈光轉換出來 ? 」
well , we got hundreds of ideas .	嗯 , 我們有數百個想法 。
salaam alaikum .	薩拉沙拉·阿拉克萊斯 。
dr . adam neiman .	亞當.阿姆斯坦 。
it was the most in new york history .	那是紐約歷史上最棒的 。
madison was astonished .	馬迪遜很驚訝 。
it has wonderful properties .	它有很棒的特性 。
i don't know anything about you .	我不知道你們什麼 。
instead , we spend our time talking .	相反的 , 我們花時間聊天 。
number three: rally your allies .	第三:理想上你的盟友 。
they were seeing something magical .	他們看到一些神奇的東西 。
and yes , we africans can .	是的 , 我們非洲人可以 。
bmw is a pretty safe car .	bmw是個很安全的汽車 。
but you know what happened to my country .	但你知道我國家發生了什麼事 。
the children are at the table .	孩子們在桌子上 。
now each company handles it different ways .	現在每間公司都用不同的方式來處理它 。
we can push through that .	我們可以把這個推進去 。
they seemed to speak to me .	他們似乎跟我說話 。
it is a biological computer .	這是生物電腦 。
we made this game in 2007 .	我們在2007年做了這個遊戲 。
it's cumulative .	它是累積的 。
what would it take to change that ?	需要什麼改變呢 ?
so , that's the system .	這就是這個系統 。
somebody else has a design for it .	另外一個人為此設計了一個設計 。
really expedites the process .	真正的探索過程 。
and some came from england .	有些人來自英國 。
" please , help me .	「 拜託 , 幫我 。
she had to look like a man .	她必須像個男人一樣 。
it is a chess game .	這是一個晶片遊戲 。
so it's time for change .	所以 , 改變是時候了 。
or did you get fired up ?	或者 , 你會被火掉嗎 ?
many want to be part of this .	很多人都想要成為這部分 。
they cannot prevent this .	他們無法預防這一點 。
there were two lines in it .	裡面有兩條線 。
it is also unstable .	它也無法做到 。
and so was darwin .	那時是達爾文 。
there was no way they could win .	他們沒有辦法贏 。
and we get a lot of that .	我們得到了很多 。
why do we want to do this ?	我們為什麼要這麼做 ?
you can use it at ted .	你可以在ted上使用它 。
there are two general types .	有兩種一般的類型 。
now , here's the story .	現在 , 這是故事 。
but i will do a trial .	但我會做個試驗 。
it's a ways out still .	它還存在某種程度上 。
his vision was pretty poor .	他的願景很窮 。
a voodoo experiment .	一個投票實驗 。
you should have started with z .	你應該從z開始 。
earth is having a fever .	地球上有一條可怕的 。
why would they cooperate ?	他們為什麼會合作 ?
so it was all about the data .	這全部都是關於資料的 。
i'm only kidding .	我只是在開玩笑 。
the first step is attention training .	第一步是關注訓練 。
it wasn't even out yet .	甚至還沒出去 。
it is time to scale this up .	該是時候要擴大這點 。
to me , that represents hope .	對我來說 , 這代表著希望 。
that means we can do it again .	這意味著我們可以再做一次 。
it's not just another day .	這不只是另一天 。
and i remember the first letter .	我記得第一封信 。
ks: yay !	ka:yay !
this is the view from the inside .	這是從內部的觀點 。
surfaces can become porous .	表面會變得很普遍 。
maybe some of them are here now .	也許有些人現在在這裡 。
poaching oh , no way .	抓著喔 , 沒辦法 。
some shots go through quickly .	有些照片很快就走了 。
we still use heparin today .	今天我們仍然使用公園 。
sixtyfive . wow .	六十五歲 。 哇 !
imagine that you run a cafe .	想像一下 , 你跑到咖啡廳 。
he went out and did an experiment .	他走出去 , 做了一個實驗 。
so what the hell was that ?	所以 , 海底是這樣嗎 ?
we all have to lead the change .	我們都必須領導這個改變 。
zabalaza .	zaza 。
will he be able to be normal ?	他是否能正常嗎 ?
titus was so bitter .	蒂蒂絲很少 。
pay up , because we did it .	付錢 , 因為我們這麼做了 。
actually , no , there are three .	事實上 , 其實沒有 , 有三個 。
or even a little bit like this ?	或甚至有點像這樣嗎 ?
this is what it looks like .	這就是它看起來的樣子 。
let me tell you who i am .	讓我告訴各位我是誰 。
this is one tough robot .	這是一個艱難的機器人 。
you really can make this change happen .	你真的可以做出改變 。
you can be that great generation . "	你可能是那個偉大的世代 。 」
you know who else is doing that ?	你知道還有誰在做這件事嗎 ?
what would we think of ourselves then ?	那時我們會想出什麼 ?
maybe you saw discomfort .	也許你看到不舒適 。
so dina , this is amazing .	所以 , 狄娜 , 這很神奇 。
and we need to train them right .	我們必須訓練他們對 。
as it did in spain .	正如在西班牙所做的 。
nm: uh , sure .	娜:呃 , 肯定 。
and that's a simple question .	這是一個簡單的問題 。
he speaks english .	他說英語 。
and so it should be with us .	所以它應該跟我們一起 。
the second thing is video games .	第二件事是電玩遊戲 。
so here is normal speed .	這是正常的速度 。
there's still time to lead .	還是有時間領導 。
it was a historical day .	那天是歷史性的一天 。
congratulations .	恭喜 。
you overcompensate .	你克服別人 。
i became a parent .	我成為一個父母 。
idea number three is listening .	想法第三點是聆聽 。
pretty amazing , huh ?	很棒 , 哈囉 ?
what kind of world is this ?	這世界是怎麼樣的 ?
i'm kidding .	我正在開玩笑 。
i document dreams .	我紀錄了夢想 。
we need to believe in ourselves .	我們必須相信自己 。
they were always best in class .	他們總是在課堂上最棒的 。
probably , like , none .	或許 , 可能 , 沒人 。
how many children did you have ?	你有多少孩子 ?
but he did have one thing .	但他做了一件事 。
now , they are leaders .	他們是領導者 。
and no one got killed .	沒有人被殺了 。
and everyone was doing the same .	每個人都在做同樣的事 。
they become building steel .	他們成立了鋼鐵 。
now , why does this happen ?	那麼 , 為什麼會這樣 ?
i've lost that count .	我失去了那個數字 。
cities are learning from each other .	城市彼此互相學習 。
they don't feel different .	他們不覺得不同 。
it all sounds the same .	聽起來都一樣 。
that's the key thing .	這就是關鍵的事情 。
and roger helped me .	羅斯協助我 。
and it's pretty simple .	這很簡單 。
she's gone . "	她走了 。 」
what percentage of the time ?	時間的百分之五十 ?
they cross over .	他們跨越了 。
that would be a beautiful thing .	那會是個美麗的東西 。
not very well at all .	完全不太擅長 。
that's actually not true .	這其實不是真的 。
it's a new experience .	這是一種新的經驗 。
this is nine of them .	這是他們九個 。
so that's our job .	這就是我們的工作 。
but you can do other things .	但你可以做其他事情 。
so let's do that .	咱們來做這件事 。
and lots of people watch .	很多人都看過 。
we stop ourselves from doing things .	我們阻止自己做事 。
the present you is hopeful .	你現在是希望的 。
who do you think you are ?	你認為你是誰 ?
most parents would find that great .	大部份的父母會發現這很棒 。
how do we create public space ?	我們要如何創造公共空間 ?
most of them work for companies .	他們大部分都為公司工作 。
i do , in any case .	我的確是 , 在任何情況下 ,
who do you run away from ?	你是誰逃離 ?
they can cost you a lot .	他們可以花很多錢 。
they were very friendly .	他們很友善 。
that leaves this white space .	這就留下了這張白色空間 。
and almost every state has one .	幾乎每個州都有一個 。
stop running around starving .	停下來 , 停止在星球上 。
that plan has worked thanks .	這個計劃已經成功了 , 感謝 。
sometimes they agree .	有時他們同意 。
he played . he won .	他玩了 。 他贏了 。
we live in the world together .	我們一起生活在世界裡 。
ca: thank you so much .	克里斯:謝謝你 。
her name i did not know .	她的名字不知道 。
it has sensors .	它有感應器 。
i totally lost it .	我完全失去了它 。
it's between buildings .	它是建築物之間的 。
they felt empowered .	他們覺得自己有力量 。
what do you bring to it ?	你要帶給它什麼 ?
it's an old idea .	這是一個古老的想法 。
i know they care a lot .	我知道他們在乎很多 。
five million people have taken it .	五百萬人已經把它拿走了 。
" all right . ok . "	「 好 。 好 。 」
and you get something like this .	你得到像這樣的東西 。
it was in italy .	它在義大利 。
and it has more notes .	它有更多的聲音 。
not quite ten percent .	不是百分之十 。
" did you hear me ? "	「 你聽過我嗎 ? 」
and we are considered less .	我們被認為是比較少的 。
countries are going underwater .	國家正在水底下 。
which really bothers me .	這真的讓我感到困惑 。
and i believe there is .	我相信這裡有 。
that is how we live .	這就是我們的生活方式 。
because it's easy .	因為它很容易 。
i had to step down .	我必須走下去 。
the ocean is everything else .	海洋是其他的 。
that's the end .	這就是最後的 。
so there we have it .	所以 , 我們有了它 。
we can fly around them .	我們可以飛過它們 。
now you have another choice .	現在你有另一種選擇 。
this is what we believe .	這就是我們相信的 。
how do you even start ?	你要如何開始 ?
now , something else happened .	現在 , 另外一件事發生了 。
here's his solution .	這是他的解決方案 。
that's not true .	這並不是真的 。
it's not easy .	這並不容易 。
this is seaweed .	這是海草 。
thank you . thank you .	謝謝 。 謝謝 。
he nodded .	他放棄了 。
thank you very much .	謝謝大家 。
that , i am not .	我不是這樣 。
thank you very much .	謝謝大家 。
i turn around . . .	我轉身去 。
thank you very much .	謝謝大家 。
thank you so much everyone .	非常感謝大家 。
here's the first .	這是第一個 。
so that is a fact .	這就是事實 。
thank you very much .	謝謝大家 。
your mental health ?	你的心理健康嗎 ?
and we continue to build .	我們繼續建立 。
why ? he made you .	為什麼 ? 他給你 。
i thought they were fun .	我以為他們很有趣 。
for example , personality .	比如 , 個人性 。
sometimes you will trip .	有時候你會嘗試 。
again , see number one .	再一次 , 看看第一 。
